N	3gram	Vinokur_St_1	PoTuStor
1	с точки зрения	8	6
2	на самом деле	6	4
3	в этом смысле	1	3
4	до сих пор	7	3
5	по крайней мере	2	3
6	во всяком случае	6	3
7	не может быть	5	3
8	ни в чем	1	3
9	так же как	3	2
10	в самом деле	5	2
11	нет никаких оснований	1	2
12	о том что	11	2
13	на протяжении всей	1	2
14	и в этом	3	2
15	нечего и говорить	1	2
16	этап в развитии	1	1
17	несколько слов о	1	1
18	одних и тех	1	1
19	и начинается трагедия	1	1
20	а иногда и	2	1
21	дело в том	4	1
22	но даже и	1	1
23	во многих случаях	2	1
24	сих пор еще	1	1
25	как это делает	1	1
26	же как и	1	1
27	никогда не утверждал	1	1
28	и лишь в	1	1
29	бы то ни	1	1
30	а потому не	1	1
31	а может быть	1	1
32	в этом отношении	7	1
33	так во всех	1	1
34	можно было бы	8	1
35	и говорить о	1	1
36	и тех же	1	1
37	со всеми его	1	1
38	что я в	1	1
39	в данном случае	6	1
40	хотя и с	1	1
41	с одной стороны	2	1
42	никаких сомнений в	1	1
43	как раз того	1	1
44	в применении к	3	1
45	а с другой	1	1
46	имеем дело с	2	1
47	всяком случае не	1	1
48	а на самом	1	1
49	в свое время	2	1
50	в том что	17	1
51	на вопрос о	2	1
52	не давая себе	1	1
53	и таким образом	1	1
54	из того же	1	1
55	что в этой	2	1
56	говорить о том	1	1
57	так и в	4	1
58	мы на самом	1	1
59	это самое важное	1	1
60	в том смысле	2	1
61	быть не может	1	1
62	для того чтобы	10	1
63	его времени и	1	1
64	может быть даже	1	1
65	той или иной	1	1
