N	2gram	Losev_Prob_1	Sovremen
1	не может	8	17
2	может быть	14	12
3	точки зрения	3	12
4	таким образом	6	11
5	мы не	2	9
6	в каждом	1	8
7	в этом	19	7
8	не можем	2	7
9	и в	32	7
10	каждый раз	1	6
11	мы можем	4	6
12	ничего не	10	6
13	как и	3	6
14	и не	31	6
15	в результате	2	6
16	все эти	8	5
17	что же	9	5
18	каждом отдельном	1	5
19	прежде всего	10	5
20	с точки	3	5
21	в условиях	1	5
22	в дальнейшем	4	4
23	вопрос о	1	4
24	нет и	2	4
25	мы должны	5	4
26	в том	9	4
27	если мы	11	4
28	из них	3	4
29	так как	11	4
30	мы видели	1	4
31	не только	17	4
32	как бы	14	4
33	вместе с	2	4
34	это не	6	4
35	их в	4	4
36	а в	4	4
37	жизни и	1	4
38	его представители	1	3
39	он может	1	3
40	в первом	2	3
41	то же	10	3
42	ясно что	3	3
43	момент времени	1	3
44	видели что	1	3
45	отнюдь не	10	3
46	все же	1	3
47	еще не	9	3
48	но в	14	3
49	мы получаем	3	3
50	он в	2	3
51	в этой	10	3
52	в себе	15	3
53	уже в	3	3
54	как он	4	3
55	в наших	1	3
56	что она	5	3
57	ведь это	2	3
58	в конце	6	3
59	в нем	13	3
60	при этом	6	3
61	на этой	2	3
62	было бы	8	3
63	а не	15	3
64	и потому	2	3
65	мы называем	2	3
66	не в	4	3
67	все это	7	3
68	а все	1	3
69	одна из	1	3
70	для нас	5	3
71	и все	7	3
72	в системе	1	3
73	у нас	14	3
74	и к	1	3
75	когда мы	8	3
76	в области	2	3
77	как мы	7	2
78	жизни мы	1	2
79	и есть	6	2
80	тем же	1	2
81	той же	1	2
82	на этом	1	2
83	из одного	1	2
84	и даже	11	2
85	говорить о	6	2
86	физических и	1	2
87	говорим о	2	2
88	настоящее время	3	2
89	и что	9	2
90	может дать	1	2
91	на другом	1	2
92	на их	1	2
93	и во	3	2
94	самом деле	6	2
95	в его	6	2
96	и будет	1	2
97	может иметь	2	2
98	с этим	3	2
99	дает нам	1	2
100	быть и	3	2
101	в самом	6	2
102	в которой	2	2
103	не будем	2	2
104	что это	3	2
105	из этих	2	2
106	тот или	1	2
107	со всеми	2	2
108	ни одна	1	2
109	уже не	3	2
110	то и	6	2
111	в виде	15	2
112	на его	2	2
113	тем не	18	2
114	мы знаем	1	2
115	всяком случае	3	2
116	еще мало	1	2
117	но все	3	2
118	то ни	1	2
119	что все	3	2
120	конечно в	2	2
121	или иной	5	2
122	в некоторых	1	2
123	и пр	4	2
124	на этот	3	2
125	что такое	6	2
126	он должен	2	2
127	всего только	1	2
128	из которых	1	2
129	знаем что	2	2
130	такого рода	7	2
131	же мы	2	2
132	не менее	19	2
133	о значении	1	2
134	на котором	1	2
135	не знаем	1	2
136	в настоящее	3	2
137	этих двух	1	2
138	в науке	2	2
139	в третьем	1	2
140	мы видим	2	2
141	не дает	1	2
142	тот же	1	2
143	совершенно не	6	2
144	не могут	2	2
145	могут быть	2	2
146	же самое	9	2
147	что в	12	2
148	если же	1	2
149	в таком	9	2
150	во всяком	7	2
151	а может	2	1
152	дальнейшем мы	1	1
153	и начала	2	1
154	должен быть	1	1
155	правда не	1	1
156	и это	9	1
157	для этих	2	1
158	которая оказывается	1	1
159	потом и	1	1
160	функции в	4	1
161	с ее	1	1
162	на другой	1	1
163	на самом	6	1
164	для науки	1	1
165	здесь и	1	1
166	по преимуществу	2	1
167	и до	2	1
168	не имеют	5	1
169	значение но	1	1
170	входящих в	1	1
171	можно было	3	1
172	мы уже	5	1
173	из всех	1	1
174	есть не	6	1
175	здесь нет	2	1
176	мы имеем	2	1
177	и само	1	1
178	же как	2	1
179	только все	1	1
180	это только	2	1
181	мы в	3	1
182	поэтому в	1	1
183	если бы	4	1
184	это направление	1	1
185	и вообще	4	1
186	но такая	1	1
187	совсем иное	2	1
188	что иное	2	1
189	эта функция	1	1
190	же необходимо	1	1
191	имеют место	1	1
192	и ни	4	1
193	и должно	2	1
194	или как	3	1
195	нечто совсем	1	1
196	кто же	1	1
197	того же	3	1
198	мы ее	1	1
199	о том	11	1
200	мы без	1	1
201	и та	1	1
202	определенным образом	3	1
203	то конечно	2	1
204	окончательном смысле	1	1
205	одного из	1	1
206	утверждает что	1	1
207	без труда	1	1
208	он сам	2	1
209	иное как	2	1
210	быть в	1	1
211	которых нет	1	1
212	бы то	1	1
213	что его	3	1
214	от другой	1	1
215	его в	6	1
216	с его	2	1
217	во всех	7	1
218	в какой-нибудь	1	1
219	но конечно	1	1
220	пр но	1	1
221	раз и	9	1
222	как нет	1	1
223	данном случае	8	1
224	совсем не	4	1
225	но не	9	1
226	к этому	1	1
227	мы будем	2	1
228	но как	6	1
229	было совершенно	1	1
230	и все-таки	2	1
231	друг на	1	1
232	при исследовании	1	1
233	если в	1	1
234	функций в	1	1
235	во втором	1	1
236	а потому	2	1
237	во всей	3	1
238	крайней мере	2	1
239	вообще и	4	1
240	может стать	1	1
241	которая и	1	1
242	в ту	1	1
243	все время	2	1
244	чем же	2	1
245	результата и	1	1
246	говорить только	1	1
247	в самый	1	1
248	то чем	1	1
249	значит что	3	1
250	к нему	3	1
251	известном смысле	1	1
252	один из	4	1
253	кроме того	2	1
254	есть такой	1	1
255	с понятием	1	1
256	природой и	1	1
257	в действительности	3	1
258	только в	7	1
259	значение этих	1	1
260	именно эта	1	1
261	чего же	1	1
262	роль играет	1	1
263	может оказаться	1	1
264	то нет	1	1
265	то он	2	1
