N	3gram	Tiupa_Disk_1	Myshleni
1	в том что	13	21
2	с точки зрения	1	18
3	с одной стороны	9	7
4	заключается в том	1	7
5	в связи с	1	6
6	во всяком случае	1	6
7	не может быть	3	6
8	на то что	1	6
9	по отношению к	9	5
10	из того что	1	4
11	а с другой	3	4
12	в том чтобы	2	4
13	о том что	5	4
14	в конечном счете	1	4
15	состоит в том	2	3
16	в том числе	2	3
17	в отличие от	4	3
18	том числе и	2	3
19	в данном случае	2	3
20	в этом отношении	1	3
21	том что в	2	2
22	на том что	1	2
23	более или менее	2	2
24	на самом деле	1	2
25	подобно тому как	2	2
26	в этом смысле	1	2
27	одной стороны и	2	2
28	в этом пункте	1	2
29	хотя бы и	1	2
30	что он не	1	2
31	или во всяком	1	2
32	то же самое	2	2
33	легко заметить что	1	2
34	речь идет о	1	2
35	по своей природе	2	1
36	а не за	1	1
37	по сути дела	2	1
38	и вообще в	1	1
39	показать на примере	1	1
40	прежде всего как	1	1
41	дело в том	1	1
42	в этом последнем	1	1
43	в том и	1	1
44	о том как	1	1
45	он не может	1	1
46	и потому что	1	1
47	том что всякое	1	1
48	до сих пор	1	1
49	как и все	1	1
50	тот или иной	2	1
51	сам по себе	1	1
52	при этом он	1	1
53	что представляет собой	1	1
54	только то что	1	1
55	а по своей	1	1
56	и речевой деятельности	1	1
57	что в них	1	1
58	как и вообще	1	1
59	в том случае	1	1
60	к себе и	1	1
61	в целом и	1	1
62	и мн др	1	1
63	не в том	3	1
64	не только его	1	1
65	сами по себе	2	1
66	к которому мы	1	1
67	представляет собой не	1	1
68	дело не в	1	1
69	могла бы быть	2	1
70	и т.п но	3	1
71	с другой стороны	3	1
72	по себе не	2	1
73	в частности в	2	1
74	том случае если	1	1
75	той ситуации в	1	1
76	с самого начала	1	1
77	той или иной	3	1
78	несмотря на все	1	1
79	можно сказать что	2	1
80	только в том	2	1
81	к которому он	1	1
82	на определенной стадии	1	1
83	или не хочет	1	1
84	в известном смысле	1	1
85	том что он	1	1
86	как и в	1	1
87	к тому же	4	1
88	и тем более	1	1
89	ситуации в которой	1	1
90	которое несмотря на	1	1
91	как мы видели	1	1
92	в свое время	1	1
