N	3gram	Nazirov_Tv_1	VrazhdaK
1	и все же	3	5
2	то же время	12	4
3	в то же	13	4
4	в связи с	1	3
5	имел в виду	1	3
6	в русской литературе	2	3
7	в в виноградов	1	2
8	человека в котором	1	2
9	в эти годы	1	2
10	и что в	1	2
11	но в то	4	2
12	в году в	2	2
13	в году и	1	2
14	в этот момент	1	2
15	в году достоевский	2	2
16	в том что	6	2
17	о летних впечатлениях	1	1
18	вышла в году	1	1
19	самим собой в	2	1
20	да и в	1	1
21	мертвого дома и	1	1
22	в году когда	1	1
23	жития великого грешника	1	1
24	достоевскому он был	1	1
25	равно как и	1	1
26	в момент создания	1	1
27	о забитой лошади	1	1
28	гоголя и достоевского	1	1
29	достоевского в году	1	1
30	в соответствии с	3	1
31	вот в чем	1	1
32	в том же	1	1
33	до сих пор	1	1
34	в канонический текст	1	1
35	в мировой литературе	1	1
36	преступлении и наказании	3	1
37	фурье во многом	1	1
38	литературоведение давно уже	1	1
39	при этом он	2	1
40	к творчеству достоевского	1	1
41	творчества достоевского в	1	1
42	страшной мести он	1	1
43	ф м достоевский	1	1
44	но это не	1	1
45	точно так же	2	1
46	подпольного человека с	2	1
47	в преступлении и	4	1
48	отношение автора к	1	1
49	по крайней мере	2	1
50	записках из подполья	2	1
51	и в то	2	1
52	войне и мире	1	1
53	следует рассматривать в	1	1
54	преступления и наказания	4	1
55	явился одним из	1	1
56	белых ночей с	1	1
57	но в целом	1	1
58	к вопросу о	1	1
59	на первый взгляд	1	1
60	в конце концов	1	1
61	но при этом	1	1
62	по нашему мнению	5	1
63	в известном смысле	1	1
64	что он сам	1	1
65	достоевского далеко не	1	1
66	в инженерном училище	1	1
67	достоевский не мог	1	1
68	что у него	1	1
69	с другой стороны	1	1
70	записки из подполья	6	1
71	тем не менее	2	1
72	преступление и наказание	4	1
73	от апреля года	1	1
74	у него в	1	1
75	по сей день	1	1
76	в войне и	1	1
77	заключается в том	1	1
78	по мнению достоевского	1	1
79	в свою очередь	1	1
80	м м бахтин	6	1
81	о том что	5	1
82	указывает н м	1	1
83	и в самом	1	1
84	из мертвого дома	1	1
85	в ту эпоху	2	1
86	что я только	1	1
87	юмор достоевского не	1	1
88	рассматривать в связи	1	1
89	в глубине души	1	1
