N	2gram	Voloshinov_1	OGranits
1	в.в виноградов	2	20
2	в.в виноградова	3	14
3	и в	3	13
4	абстрактного объективизма	1	10
5	может быть	1	8
6	не может	4	8
7	и не	1	8
8	в его	1	7
9	точки зрения	1	7
10	социального общения	2	6
11	не только	1	6
12	художественного произведения	1	5
13	с точки	1	5
14	то же	1	4
15	в школе	1	4
16	в выборе	1	4
17	вполне понятно	1	4
18	в каждом	1	4
19	при анализе	1	3
20	ни один	1	3
21	языка как	1	3
22	но и	1	3
23	в.в виноградовым	1	3
24	и все	1	3
25	произведения но	1	2
26	если бы	1	2
27	и должно	1	2
28	в ней	1	2
29	в языке	1	2
30	школе соссюра	1	2
31	в лингвистике	1	2
32	мы видим	1	2
33	для него	1	2
34	общения и	2	2
35	этой проблемы	1	2
36	литературного языка	1	2
37	а не	1	2
38	несмотря на	1	2
39	и истории	1	2
40	литературного произведения	1	2
41	поэтики и	1	2
42	не менее	1	2
43	бы в	1	2
44	и лингвистики	1	2
45	к тому	1	2
46	и предварительно	1	1
47	нуждаются в	1	1
48	границ поэтики	1	1
49	самых первых	1	1
50	это направление	1	1
51	социальной борьбы	1	1
52	подхода к	1	1
53	событий и	1	1
54	этого общения	1	1
55	виноградовым методы	1	1
56	обратное явление	1	1
57	может и	1	1
58	нет и	1	1
59	один из	2	1
60	ставить в	1	1
61	не из	1	1
62	школы фосслера	1	1
63	и социальной	1	1
64	направления абстрактного	1	1
65	организующих сил	1	1
66	виноградова в	1	1
67	социально-иерархического взаимоотношения	1	1
68	в особенности	1	1
69	школе фосслера	1	1
70	разных категорий	1	1
71	неполно и	1	1
72	фосслера и	1	1
73	быть подхода	1	1
74	не смог	1	1
75	в выводах	1	1
76	формального метода	1	1
77	тому что	1	1
78	художественных категорий	1	1
79	сил которые	1	1
80	в то	1	1
81	именно с	1	1
82	же время	1	1
83	анализе именно	1	1
84	связи с	1	1
85	виноградова при	1	1
86	в системе	1	1
87	о литературе	1	1
