N	3gram	Medvedev_U_1	Komedia
1	в том что	2	9
2	с другой стороны	3	5
3	в конце концов	2	4
4	то же время	3	4
5	в то же	3	4
6	в этом отношении	2	3
7	с одной стороны	1	3
8	по меньшей мере	1	2
9	то же самое	2	2
10	в первую очередь	1	2
11	когда бы то	1	2
12	до сих пор	2	2
13	то ни было	3	2
14	бы то ни	3	2
15	у нас в	1	2
16	на то что	1	2
17	но прежде всего	1	1
18	другой стороны в	1	1
19	содержания и формы	1	1
20	более или менее	1	1
21	большей или меньшей	1	1
22	он может быть	1	1
23	а между тем	2	1
24	и не только	1	1
25	сам по себе	1	1
26	и у других	1	1
27	и в конце	1	1
28	в этой области	3	1
29	в данном случае	1	1
30	не только в	1	1
31	в той же	1	1
32	или иначе связанные	1	1
33	так или иначе	1	1
34	и в их	1	1
35	иначе связанные с	1	1
36	и независимо от	1	1
37	и прежде всего	1	1
38	в этой же	1	1
39	оно все же	1	1
40	может быть в	1	1
