N	2gram	Nazirov_Tr_1	KFilosof
1	может быть	7	43
2	в его	3	39
3	в нем	4	31
4	не может	5	27
5	и не	7	26
6	и в	18	22
7	в себе	4	21
8	в котором	1	21
9	не есть	1	19
10	и его	6	17
11	в ее	2	17
12	а не	1	17
13	только в	1	16
14	в этом	9	13
15	и это	2	12
16	но не	1	12
17	ни в	2	12
18	для него	3	12
19	все эти	3	11
20	в своей	1	11
21	не в	2	11
22	к нему	3	11
23	во всех	1	10
24	в своем	3	10
25	это не	5	10
26	все это	4	10
27	из себя	1	10
28	и есть	1	9
29	в целом	4	9
30	но и	4	9
31	как бы	7	9
32	и все	4	9
33	лишь в	1	8
34	не было	1	8
35	то что	4	7
36	во всем	1	7
37	и здесь	2	7
38	что и	2	7
39	я не	4	6
40	отношение к	2	6
41	отнюдь не	3	6
42	и я	2	6
43	он не	2	6
44	не значит	1	6
45	в мире	3	6
46	совершенно не	1	6
47	уже не	2	6
48	и их	1	6
49	но это	4	6
50	в том	2	6
51	но как	1	5
52	все же	5	5
53	но в	6	5
54	жизнь как	1	5
55	не только	8	5
56	то же	5	5
57	но все	2	5
58	его в	2	5
59	как и	5	5
60	должно быть	3	5
61	что я	4	5
62	но эта	2	5
63	не имеет	2	5
64	никогда не	2	5
65	с ним	3	5
66	именно в	1	5
67	его как	1	5
68	хотя бы	1	5
69	жизни в	1	5
70	ко всему	1	5
71	как его	1	4
72	проникает в	1	4
73	себя а	1	4
74	быть в	1	4
75	в чем	1	4
76	при этом	3	4
77	не как	1	4
78	здесь мы	1	4
79	тем самым	3	4
80	к ним	1	4
81	о нем	1	4
82	с ними	1	4
83	и т.д	1	4
84	между тем	1	4
85	могло бы	1	4
86	в одном	2	4
87	том что	4	4
88	для нас	1	4
89	со мной	2	4
90	что в	4	4
91	самом деле	1	3
92	должна быть	1	3
93	что это	5	3
94	в ней	1	3
95	еще не	4	3
96	и на	7	3
97	бы и	2	3
98	бы не	1	3
99	и отношения	1	3
100	и совершенно	1	3
101	ее жизни	2	3
102	в другом	1	3
103	нет в	2	3
104	рядом с	1	3
105	когда я	1	3
106	меня как	1	3
107	что этот	2	3
108	не менее	1	3
109	я буду	2	3
110	где он	1	3
111	ничего не	2	3
112	могут быть	1	3
113	в виду	1	3
114	о том	2	3
115	того что	1	3
116	всем его	1	3
117	и должна	1	3
118	тем что	2	3
119	что не	1	3
120	до конца	2	3
121	в момент	1	3
122	от него	1	3
123	не я	1	3
124	не быть	1	3
125	в то	5	3
126	чтобы не	1	2
127	и то	2	2
128	я и	1	2
129	это и	1	2
130	а как	2	2
131	вопрос о	2	2
132	ему в	1	2
133	за свое	1	2
134	с его	2	2
135	в данном	2	2
136	свою жизнь	1	2
137	как в	3	2
138	и как	3	2
139	в этой	4	2
140	человек не	1	2
141	в виде	2	2
142	так и	5	2
143	конечно в	1	2
144	а по	1	2
145	с тем	2	2
146	но я	1	2
147	я его	1	2
148	знает и	1	2
149	тем не	1	2
150	по себе	1	2
151	тому что	1	2
152	раз и	2	2
153	что эта	1	2
154	того чтобы	1	2
155	этом мире	1	2
156	же время	6	2
157	не нужен	1	2
158	в области	1	2
159	к себе	1	2
160	его с	1	2
161	жизнь и	3	2
162	или как	1	2
163	и она	1	2
164	дело с	1	2
165	что он	6	2
166	именно на	1	2
167	а это	1	2
168	не из	1	2
169	слова в	1	2
170	ли это	1	2
171	прежде всего	4	2
172	только по	1	2
173	он и	2	2
174	и потому	1	2
175	что за	3	2
176	быть не	1	2
177	в это	2	2
178	этого слова	1	2
179	которой он	1	2
180	это уже	2	2
181	потому что	2	2
182	но этот	1	2
183	и эта	1	2
184	ту же	1	1
185	человека и	1	1
186	или своей	1	1
187	и практический	1	1
188	и до	2	1
189	что эти	2	1
190	исходит из	1	1
191	перепрыгивая через	1	1
192	той же	1	1
193	которую я	1	1
194	что уже	1	1
195	и ее	2	1
196	как свой	1	1
197	и он	3	1
198	не был	2	1
199	столь же	2	1
200	и мира	1	1
201	а он	1	1
202	само это	1	1
203	не просто	2	1
204	не смирение	1	1
205	но со	1	1
206	в истории	1	1
207	более чем	1	1
208	что ее	1	1
209	и наконец	1	1
210	в первом	2	1
211	поэтому он	1	1
212	в самом	2	1
213	в которой	1	1
214	знать и	1	1
215	здесь есть	1	1
216	если он	1	1
217	жизнью и	2	1
218	что она	2	1
219	перестает быть	1	1
220	не к	1	1
221	содержит в	1	1
222	и по	1	1
223	на этом	1	1
224	а затем	1	1
225	же не	1	1
226	из предшествующего	1	1
227	об этом	4	1
228	и с	7	1
229	и чтобы	1	1
230	то есть	3	1
231	это было	1	1
232	он есть	1	1
233	полноте и	1	1
234	этого не	1	1
235	а за	1	1
236	всю жизнь	1	1
237	несмотря на	5	1
238	же мысль	1	1
239	не мог	2	1
240	контекст в	1	1
241	всяком случае	1	1
242	то для	1	1
243	в моей	1	1
244	значение для	1	1
245	сам же	1	1
246	маленький и	1	1
247	но он	1	1
248	любви и	2	1
249	играть в	1	1
250	она не	1	1
251	что ему	1	1
252	одна из	2	1
253	это хорошо	1	1
254	но может	1	1
255	например что	1	1
256	но только	1	1
257	только не	1	1
258	в блеске	1	1
259	по своей	1	1
260	вместо того	1	1
261	и теперь	1	1
262	не является	1	1
263	ему миром	1	1
264	в трагедии	1	1
265	и должно	1	1
266	к тому	2	1
267	всего что	1	1
268	любит и	1	1
269	нас от	1	1
270	и о	1	1
271	с ее	3	1
272	что все	2	1
273	но при	2	1
274	всего этого	1	1
275	позицию по	1	1
276	и от	1	1
277	мысль о	1	1
278	но мы	1	1
279	его самого	1	1
280	с собой	1	1
281	не за	2	1
282	мог бы	3	1
283	в последней	1	1
284	и даже	4	1
285	на все	1	1
286	она всегда	1	1
287	только за	1	1
288	нет это	1	1
289	все в	1	1
