N	3gram	Potebnia_M_3	Hudozhes
1	в том что	16	11
2	по отношению к	5	7
3	о том что	1	7
4	подобно тому как	2	4
5	то же время	5	4
6	на наш взгляд	1	4
7	в то же	5	4
8	к тому что	2	4
9	а между тем	2	3
10	в самом деле	1	3
11	не может быть	3	3
12	как и в	2	3
13	с одной стороны	3	3
14	для того чтобы	3	3
15	тем не менее	3	3
16	том что она	1	2
17	а не в	1	2
18	только в том	3	2
19	до сих пор	3	2
20	и т п	2	2
21	но тем не	2	2
22	в данном случае	1	2
23	то же самое	1	2
24	не только не	2	2
25	не только в	4	2
26	бы с такою	1	2
27	к тому же	1	2
28	и т д	3	2
29	более глубокое и	1	1
30	то что я	2	1
31	сводится к тому	1	1
32	других в этом	1	1
33	это было бы	1	1
34	навести на мысль	1	1
35	и то и	1	1
36	именно то что	2	1
37	и в других	1	1
38	что он не	3	1
39	в том случае	1	1
40	в этом отношении	2	1
41	самим по себе	1	1
42	что не только	1	1
43	если бы она	1	1
44	то и другое	1	1
45	в таком случае	2	1
46	в человеческой жизни	1	1
47	и то что	1	1
48	человеке и в	1	1
49	нечто такое что	1	1
50	таким же радостным	1	1
51	у него в	1	1
52	из виду что	1	1
53	как на нечто	1	1
54	если бы эти	1	1
55	в человеке и	1	1
56	между тем в	1	1
57	она не знает	1	1
58	то время как	1	1
59	а не как	1	1
60	так или иначе	1	1
61	он уже не	1	1
62	только в таком	1	1
63	лишь в том	1	1
64	с другой стороны	4	1
65	и в том	2	1
66	а в том	5	1
67	с нею в	1	1
68	нельзя сказать что	2	1
69	уже в том	1	1
70	заключается в том	1	1
71	в то время	4	1
72	в первом случае	2	1
73	оттенить и выдвинуть	1	1
74	упускать из виду	2	1
75	и в самом	2	1
76	именно потому что	1	1
77	и чуждый его	1	1
78	можно сказать что	2	1
79	не было ни	1	1
80	в слове и	5	1
81	друг от друга	1	1
82	внутреннюю и внешнюю	1	1
83	после того как	1	1
84	но вслед за	1	1
85	легко может быть	1	1
86	в разговоре с	1	1
87	в себе самом	1	1
88	в своем воображении	1	1
89	и все что	1	1
90	что и в	3	1
91	случае если бы	1	1
92	именно тем что	1	1
