N	3gram	Bakhtin_fo_2	PoTuStor
1	с точки зрения	8	6
2	на самом деле	1	4
3	с самого начала	1	4
4	в чем не	1	3
5	до сих пор	2	3
6	по сравнению с	1	3
7	не может быть	1	3
8	и пр и	1	3
9	ни в чем	1	3
10	можно сказать что	1	3
11	в большинстве случаев	3	3
12	друг на друга	2	2
13	по аналогии с	1	2
14	о том что	1	2
15	и только для	1	2
16	пр и пр	1	2
17	и в этом	3	2
18	нечего и говорить	1	2
19	и того же	1	1
20	весь остальной мир	1	1
21	и связанных с	1	1
22	и связанные с	1	1
23	мы имеем в	2	1
24	имеем в виду	3	1
25	одного и того	1	1
26	мы можем коснуться	1	1
27	то же самое	2	1
28	сих пор еще	1	1
29	на первый план	2	1
30	он не был	2	1
31	в основе их	1	1
32	и та же	2	1
33	и др и	1	1
34	в этом отношении	2	1
35	все же в	2	1
36	рано или поздно	1	1
37	и говорить о	1	1
38	еще совершенно не	1	1
39	со всех сторон	1	1
40	с этой точки	1	1
41	вместе с тем	1	1
42	только для того	1	1
43	стадии разложения и	1	1
44	так как он	1	1
45	же что и	1	1
46	в данном случае	1	1
47	в стадии разложения	1	1
48	для него существует	1	1
49	очень важный момент	2	1
50	с одной стороны	1	1
51	в связи с	7	1
52	в себя и	1	1
53	можем коснуться лишь	1	1
54	в них и	1	1
55	него существует только	1	1
56	в том что	3	1
57	этой точки зрения	1	1
58	а вместе с	1	1
59	те же что	1	1
60	из того же	1	1
61	связи с этим	2	1
62	одна и та	2	1
63	прежде всего к	1	1
64	и прежде всего	3	1
65	лежит на границе	1	1
66	есть прежде всего	1	1
67	таким образом и	1	1
68	зрения может быть	1	1
69	точки зрения может	1	1
70	друг с другом	4	1
71	для того чтобы	7	1
72	на первый взгляд	1	1
73	сущность этого метода	1	1
74	той или иной	1	1
