N	3gram	Losev_Dial_4	VelikijI
1	то что мы	2	3
2	то что я	1	2
3	в нем нет	1	2
4	не в силах	1	2
5	в том что	9	2
6	как бы и	1	2
7	и т д	15	2
8	но прежде всего	1	1
9	я думаю что	2	1
10	но все же	1	1
11	другой стороны в	1	1
12	он так хорошо	1	1
13	тогда нет и	1	1
14	в ней и	1	1
15	что все в	1	1
16	есть прежде всего	3	1
17	т д и	3	1
18	и есть то	1	1
19	и то и	1	1
20	хотя бы и	2	1
21	не есть метафизическое	1	1
22	вечности вот почему	1	1
23	нем нет никакого	1	1
24	по крайней мере	7	1
25	то и другое	2	1
26	есть то что	5	1
27	вот почему мы	1	1
28	с ними как	1	1
29	личность о которой	1	1
30	нет ничего и	1	1
31	того что он	4	1
32	вслед за ним	1	1
33	в конце концов	1	1
34	и в этом	3	1
35	все что было	1	1
36	с другой стороны	1	1
37	как бы в	1	1
38	личности и ее	2	1
39	по сравнению с	2	1
40	д и т	2	1
41	и вместе с	1	1
42	не имеет никакой	1	1
43	после того как	1	1
44	мы видим что	2	1
45	вот почему в	1	1
46	в жизни и	1	1
