N	3gram	Tiupa_Anal_1	EvropaiE
1	с точки зрения	4	16
2	в то же	8	15
3	то же время	6	14
4	с одной стороны	3	8
5	в том что	9	6
6	с этой точки	1	5
7	этой точки зрения	1	5
8	для того чтобы	3	5
9	бы то ни	3	4
10	не только в	1	4
11	то ни было	3	4
12	того или иного	3	4
13	той или иной	6	4
14	в той или	3	3
15	в этом смысле	1	3
16	в этом отношении	2	3
17	в известном смысле	1	3
18	друг с другом	1	3
19	во всяком случае	1	3
20	между тем в	1	3
21	или хотя бы	1	2
22	того что в	2	2
23	прежде всего в	1	2
24	не говоря уже	1	2
25	только в том	1	2
26	из того что	3	2
27	и в частности	1	2
28	в данном случае	2	2
29	но в то	2	2
30	тому или иному	1	2
31	не более чем	4	2
32	с другой стороны	2	2
33	не может быть	16	2
34	в свою очередь	1	2
35	приводит нас к	1	2
36	и того же	2	1
37	как и его	1	1
38	а не к	1	1
39	может быть сведена	1	1
40	более или менее	1	1
41	большей или меньшей	4	1
42	также и в	1	1
43	и та и	1	1
44	значение лишь в	1	1
45	в соответствии с	1	1
46	в том же	1	1
47	и в качестве	1	1
48	что же касается	1	1
49	можно утверждать что	1	1
50	в качестве объекта	1	1
51	и не в	4	1
52	что как бы	1	1
53	говоря уже о	1	1
54	том случае если	1	1
55	того что мы	1	1
56	в отличие от	6	1
57	но и в	2	1
58	и та же	1	1
59	том числе и	1	1
60	в противном случае	1	1
61	то или иное	1	1
62	что в качестве	1	1
63	или иначе говоря	1	1
64	не сводится к	2	1
65	и тот же	1	1
66	смысле этого слова	1	1
67	бы столь же	1	1
68	не могут быть	2	1
69	в том случае	1	1
70	в большей или	1	1
71	хотя бы с	1	1
72	или меньшей степени	1	1
73	в связи с	1	1
74	быть сведена к	1	1
75	одна и та	1	1
76	в полной мере	3	1
77	один и тот	1	1
78	только в качестве	1	1
79	значение только в	1	1
80	представляет собой своеобразный	1	1
81	и тем самым	1	1
82	выходит за пределы	1	1
83	одного и того	2	1
84	та и другая	1	1
85	в том числе	3	1
86	к тому что	1	1
87	тех или иных	2	1
88	в себе в	1	1
89	к тому же	4	1
90	только тогда когда	1	1
