N	2gram	Vygotskiy__7	EvropaiC
1	таким образом	23	32
2	в том	18	31
3	и в	26	24
4	том что	17	20
5	все эти	6	19
6	не может	11	18
7	то что	24	17
8	может быть	7	15
9	все же	6	15
10	точки зрения	28	13
11	самом деле	6	12
12	в своем	1	12
13	до сих	3	12
14	в этом	29	12
15	сих пор	3	12
16	с этим	2	11
17	между тем	1	11
18	все это	3	11
19	во всех	6	10
20	по отношению	6	10
21	так и	3	10
22	мы знаем	2	10
23	как бы	6	10
24	отношению к	5	10
25	все что	6	10
26	того же	1	9
27	на то	4	9
28	при этом	1	9
29	как и	15	9
30	с другом	2	9
31	друг с	2	9
32	в результате	1	9
33	что в	12	9
34	в самом	9	8
35	чем у	3	8
36	с точки	21	8
37	мы говорили	2	8
38	не в	4	8
39	ясно что	1	8
40	если бы	5	8
41	так же	14	8
42	и все	1	8
43	на самом	3	7
44	из этих	3	7
45	в силу	5	7
46	о которых	2	7
47	не менее	4	7
48	по существу	1	7
49	того чтобы	19	7
50	по своей	10	7
51	к тому	7	7
52	для этого	3	7
53	о том	4	7
54	и что	6	7
55	что он	8	7
56	для того	18	7
57	но и	11	7
58	и не	18	7
59	о котором	1	7
60	из этого	2	7
61	в каждый	1	6
62	еще не	4	6
63	в этой	3	6
64	в сознании	6	6
65	несмотря на	2	6
66	и при	2	6
67	от друга	2	6
68	с ним	3	6
69	что и	3	6
70	того что	14	6
71	говорили выше	2	6
72	только в	8	6
73	все они	1	6
74	так что	4	6
75	так как	14	6
76	мы можем	3	6
77	друг от	2	6
78	с другой	4	6
79	вместе с	12	6
80	отличается от	3	6
81	как на	6	6
82	между двумя	3	5
83	из всех	5	5
84	столь же	2	5
85	как к	3	5
86	и к	7	5
87	но в	4	5
88	в которой	11	5
89	ступени развития	1	5
90	что это	6	5
91	в целом	5	5
92	в себе	9	5
93	тому же	1	5
94	не только	24	5
95	но все	1	5
96	что все	2	5
97	и с	5	5
98	на все	1	5
99	лишь в	2	5
100	его в	2	5
101	и без	1	5
102	что с	5	5
103	в то	3	5
104	как будто	1	5
105	что при	2	5
106	по сравнению	9	5
107	в пользу	4	5
108	в его	4	5
109	потому что	16	5
110	и их	5	5
111	у него	1	5
112	именно в	6	5
113	ничем не	1	5
114	другой стороны	1	5
115	по своему	9	5
116	сравнению с	8	5
117	и для	5	5
118	и от	4	5
119	к этому	2	5
120	одним из	2	4
121	в такой	4	4
122	и то	7	4
123	то же	8	4
124	мы уже	3	4
125	та же	1	4
126	из того	3	4
127	между собой	6	4
128	что его	2	4
129	отношение к	2	4
130	данный момент	1	4
131	что как	1	4
