N	3gram	Vinokur_Ku_1	Sotsiolo
1	в том что	15	2
2	дело не в	1	2
3	не в том	4	2
4	по отношению к	8	2
5	далеко еще не	1	1
6	связь между ними	1	1
7	в настоящее время	1	1
8	в том и	2	1
9	отношению к которому	1	1
10	по крайней мере	5	1
11	в наше время	1	1
12	о том как	3	1
13	именно в том	2	1
14	все это как	1	1
15	друг от друга	1	1
16	с ним все	1	1
17	в то же	2	1
18	что в них	2	1
19	а с другой	3	1
20	что все это	1	1
21	по существу это	1	1
22	пришлось бы в	1	1
23	в связи с	3	1
24	а в том	2	1
25	то же время	2	1
26	чуть ли не	2	1
27	в противном случае	1	1
28	и в то	1	1
29	в его системе	1	1
30	с одной стороны	1	1
31	во всяком случае	5	1
32	этот основной вопрос	1	1
