N	2gram	Bakhtin_fo_1	Komedia
1	и в	50	22
2	v в	1	13
3	том что	4	12
4	в том	9	11
5	но и	8	11
6	в то	9	10
7	не только	9	10
8	из них	1	10
9	как и	8	9
10	и т	8	9
11	может быть	11	9
12	таким образом	11	8
13	в одном	3	8
14	должны были	1	8
15	и не	14	8
16	и его	16	8
17	о том	1	8
18	в этой	1	7
19	и других	3	7
20	в которой	2	6
21	в конце	9	6
22	а в	3	6
23	не в	5	6
24	в отношении	3	6
25	что в	5	6
26	то же	11	6
27	к тому	3	6
28	тому же	2	6
29	ни в	8	6
30	что он	1	6
31	и по	2	6
32	о которых	1	5
33	т п	8	5
34	так и	12	5
35	потому что	4	5
36	мы встречаем	2	5
37	в истории	2	5
38	до нас	5	5
39	и даже	2	5
40	в его	13	5
41	прежде всего	15	5
42	один из	3	5
43	при этом	3	5
44	с другой	2	5
45	то время	4	5
46	все это	4	5
47	уже в	2	5
48	как в	6	5
49	во время	1	5
50	и вот	1	4
51	же время	9	4
52	в другом	1	4
53	время как	5	4
54	по которым	1	4
55	точки зрения	5	4
56	в нем	24	4
57	действующих лиц	1	4
58	так в	1	4
59	в их	6	4
60	на протяжении	1	4
61	к этому	3	4
62	но в	10	4
63	как мы	14	4
64	в качестве	3	4
65	тем что	2	4
66	в котором	4	4
67	ясно что	2	4
68	именно в	3	4
69	обвинения в	1	4
70	что и	3	4
71	мы можем	1	4
72	в результате	6	4
73	же в	3	4
74	а также	2	4
75	так как	6	4
76	главным образом	1	3
77	дошедших до	1	3
78	все же	6	3
79	и с	4	3
80	в свои	1	3
81	их к	2	3
82	вопрос о	2	3
83	хотя и	3	3
84	место в	2	3
85	одной из	3	3
86	так же	6	3
87	в более	2	3
88	отношению к	5	3
89	чаще всего	1	3
90	и ее	3	3
91	и все	6	3
92	на то	1	3
93	на землю	1	3
94	и у	5	3
95	всего в	1	3
96	как раз	13	3
97	в тех	1	3
98	мы не	3	3
99	отношение к	2	3
100	могут быть	5	3
101	на всю	1	3
102	его в	3	3
103	в образе	5	3
104	в течение	2	3
105	здесь мы	1	3
106	здесь в	2	3
107	в честь	2	3
108	в начале	3	3
109	по отношению	3	3
110	и сам	1	3
111	идет о	1	3
112	в этом	25	3
113	у нас	1	3
114	тот же	1	3
115	в чем	2	3
116	комедии и	1	3
117	да и	3	3
118	и еще	2	3
119	ничего не	9	3
120	только в	4	3
121	новое время	1	3
122	в них	4	3
123	одной стороны	2	3
124	в целом	2	3
125	у него	6	3
126	же как	2	3
127	с одной	3	3
128	по своему	1	3
129	этом отношении	3	3
130	и на	8	3
131	он не	5	3
132	в частности	6	3
133	все более	1	3
134	и как	10	3
135	для всех	2	2
136	в себе	3	2
137	литературного наследия	1	2
138	и здесь	1	2
139	времени это	1	2
140	во всяком	3	2
141	если они	2	2
142	тех же	2	2
143	но он	2	2
144	того же	8	2
145	не может	6	2
146	даже не	2	2
147	на которые	1	2
148	для себя	7	2
149	здесь и	2	2
150	еще и	2	2
151	как по	2	2
152	это время	7	2
153	для них	3	2
154	в доме	1	2
155	они с	2	2
156	вовсе не	13	2
157	где он	1	2
158	в эти	1	2
159	выступает с	1	2
160	сих пор	3	2
161	и во	7	2
162	независимо от	1	2
163	не следует	1	2
164	связанные с	1	2
165	до сих	3	2
166	затем в	1	2
167	то и	1	2
168	наряду с	5	2
169	между прочим	1	2
170	в форме	3	2
171	правда в	1	2
172	совсем не	2	2
173	принадлежит к	2	2
174	по своей	1	2
175	но не	5	2
176	из всего	1	2
177	путь к	1	2
178	вместе с	3	2
179	при всем	1	2
180	в трагедии	2	2
181	что касается	1	2
182	и формы	1	2
183	в сущности	3	2
184	раз в	4	2
185	в себя	1	2
186	в хронологическом	1	2
187	к ней	2	2
188	времени и	10	2
189	то что	6	2
190	и мир	1	2
191	из которых	1	2
192	нашей эры	2	2
193	которых мы	1	2
194	в других	9	2
195	с ее	6	2
196	отличие от	2	2
197	ее в	2	2
198	видимо и	1	2
199	войны в	1	2
200	были в	2	2
201	или в	3	2
202	этой же	1	2
203	находится в	1	2
204	время когда	1	2
205	всяком случае	1	2
206	со своей	3	2
207	в новое	3	2
208	ту же	2	2
209	образом в	1	2
210	одна из	2	2
211	на те	1	2
212	он был	1	2
213	в самом	8	2
214	а мы	2	2
215	до конца	4	2
216	этим и	1	2
217	из всех	1	2
218	еще не	5	2
219	в своих	1	2
220	нас в	3	2
221	от них	1	2
222	не к	2	2
223	одну из	1	2
224	см например	2	2
225	протяжении всего	1	2
226	вернуться к	1	2
227	была уже	2	2
228	всего этого	2	2
229	время и	4	2
230	его герои	1	2
231	на себя	2	2
232	было бы	2	2
233	власть в	1	2
234	также в	1	2
235	в свою	2	2
236	его от	2	1
237	одним из	1	1
238	и лирических	1	1
239	которые могут	1	1
240	ни одного	1	1
241	в полном	1	1
242	подчиняются и	1	1
243	к выводу	1	1
244	на ее	1	1
245	теми же	1	1
246	как поступить	1	1
247	организующим началом	1	1
248	и власть	1	1
249	отсюда и	2	1
250	потому именно	1	1
251	в особенности	9	1
252	приводит к	1	1
253	всех сторон	1	1
254	творчества от	1	1
255	в значительной	2	1
256	ее характер	1	1
257	времени с	2	1
258	места в	2	1
259	бы в	1	1
260	во времени	3	1
261	собой в	1	1
262	бытового плана	1	1
263	данном случае	1	1
264	присущ и	1	1
265	что их	1	1
266	быть использованы	1	1
267	бросается в	1	1
268	миф о	1	1
269	не могла	1	1
270	не столь	2	1
271	сократа и	1	1
272	мы и	4	1
273	они не	3	1
274	страны в	1	1
275	именно к	1	1
276	год и	1	1
277	в античном	1	1
278	где бы	1	1
279	в литературе	16	1
280	жизни и	8	1
281	есть по	1	1
282	следующий год	1	1
283	его с	1	1
284	которого они	1	1
285	было и	4	1
286	так уже	1	1
287	для своего	1	1
288	почти все	1	1
289	ее на	1	1
290	нет в	2	1
291	и для	4	1
292	нас не	1	1
293	никто не	2	1
294	но конечно	2	1
295	уже знаем	1	1
296	в этот	2	1
297	образом все	1	1
298	ряд моментов	1	1
299	свойств и	1	1
300	он становится	2	1
301	служит для	1	1
302	вопрос об	1	1
303	друг другу	2	1
304	об исторической	1	1
305	и тот	1	1
306	в каком	2	1
307	гораздо более	1	1
308	до самой	1	1
309	внешнее и	2	1
310	в стороне	2	1
311	случаях когда	1	1
312	к концу	3	1
313	в жизни	6	1
314	в самую	1	1
315	с ней	1	1
316	и являются	1	1
317	наконец в	1	1
318	в большинстве	1	1
319	у плутарха	1	1
320	мы уже	11	1
321	хотя бы	2	1
322	за несколько	1	1
323	что это	1	1
324	в условиях	7	1
325	с ним	2	1
326	бы не	1	1
327	однако этот	1	1
328	такова в	1	1
329	вполне понятно	4	1
330	можно только	2	1
331	с бытовым	3	1
332	не входит	2	1
333	в положение	1	1
334	не знает	3	1
335	или хотя	1	1
336	от него	1	1
337	борьбе с	2	1
338	того чтобы	5	1
339	в какой-то	3	1
340	у великих	1	1
341	были хорошо	1	1
342	а только	2	1
343	по себе	2	1
344	с такими	1	1
345	и те	3	1
346	на весь	1	1
347	во главе	1	1
348	об этом	2	1
349	все остальное	1	1
350	он действует	1	1
351	действие в	1	1
352	и он	1	1
353	с тем	3	1
354	те же	2	1
355	всю его	1	1
356	по его	1	1
357	дело обстояло	1	1
358	такого же	1	1
359	его к	1	1
360	жизни к	1	1
361	в эту	1	1
362	но все	5	1
363	на следующий	2	1
364	связей и	1	1
365	общественной жизни	1	1
366	и только	1	1
367	самом начале	1	1
368	смысле этого	1	1
369	по случаю	1	1
370	ему что	1	1
371	места и	1	1
372	все его	3	1
373	который был	1	1
374	ее основных	2	1
375	к первой	1	1
376	к жизни	2	1
377	и сама	1	1
378	зрения на	1	1
379	следовательно и	1	1
380	из жизни	1	1
381	простой народ	1	1
382	совершенно не	2	1
383	что им	1	1
384	того что	2	1
385	на этой	4	1
386	но зато	1	1
