N	2gram	Losev_Vesc_1	PoTuStor
1	может быть	16	17
2	и в	21	16
3	и пр	6	12
4	в этом	4	9
5	таким образом	8	9
6	и только	3	9
7	мы можем	4	9
8	прежде всего	9	9
9	и с	8	8
10	точки зрения	5	8
11	и его	2	8
12	не может	17	8
13	совершенно не	5	8
14	с его	1	7
15	не только	36	7
16	сказать что	17	7
17	я и	6	6
18	самом деле	4	6
19	конечно не	1	6
20	при этом	1	6
21	с точки	3	6
22	и это	14	6
23	для него	4	6
24	и к	1	6
25	еще не	8	5
26	в чем	6	5
27	отношение к	1	5
28	все эти	3	5
29	что такое	12	5
30	ни в	1	5
31	нуждается в	1	5
32	ту сторону	1	5
33	в него	1	5
34	как бы	12	5
35	на самом	1	4
36	и ее	18	4
37	отнюдь не	5	4
38	и наконец	1	4
39	но в	5	4
40	в этой	3	4
41	в нем	2	4
42	и может	2	4
43	его в	2	4
44	жизни человека	1	4
45	в один	1	4
46	мысли и	3	4
47	все это	5	4
48	как мы	4	4
49	с ее	6	4
50	так и	3	4
51	но мы	1	4
52	можно сказать	6	4
53	в его	2	4
54	с ними	3	4
55	только в	14	4
56	для всех	1	4
57	и их	7	4
58	так как	7	4
59	и даже	6	4
60	но и	18	4
61	и не	29	4
62	и все	5	4
63	хотя бы	6	4
64	все что	1	4
65	едва ли	1	3
66	во всех	2	3
67	в общем	1	3
68	и есть	26	3
69	сознательное и	1	3
70	и как	8	3
71	и вот	2	3
72	их в	3	3
73	на этом	2	3
74	на этой	1	3
75	реальности и	3	3
76	том что	8	3
77	сих пор	1	3
78	в одном	2	3
79	по крайней	4	3
80	и притом	3	3
81	в основе	3	3
82	до сих	1	3
83	чем не	2	3
84	и оно	3	3
85	к себе	4	3
86	по сравнению	7	3
87	с другими	8	3
88	крайней мере	4	3
89	и она	1	3
90	в том	8	3
91	только на	3	3
92	мы знаем	1	3
93	всяком случае	2	3
94	даже не	7	3
95	но оно	1	3
96	вместе с	1	3
97	и потому	5	3
98	как это	2	3
99	сравнению с	6	3
100	могут быть	1	3
101	что в	9	3
102	в этих	1	3
103	а в	4	3
104	то что	27	3
105	между ними	3	3
106	только как	1	3
107	жизни и	2	3
108	во всяком	3	3
109	ту же	2	2
110	нем нет	1	2
111	же как	1	2
112	в самом	9	2
113	и этот	2	2
114	мы уже	3	2
115	мы не	6	2
116	и о	3	2
117	метода и	2	2
118	говорить о	6	2
119	того же	5	2
120	и говорить	1	2
121	между собой	1	2
122	из этих	1	2
123	нет и	1	2
124	с этим	3	2
125	что это	13	2
126	но ведь	2	2
127	вообще не	2	2
128	момента в	1	2
129	и по	1	2
130	то же	6	2
131	и мы	1	2
132	было бы	14	2
