N	3gram	Losev_Dial_4	Sovremen
1	с точки зрения	9	5
2	в зависимости от	1	4
3	не может быть	6	4
4	не может не	1	3
5	тем не менее	2	2
6	в отличие от	1	2
7	в свою очередь	2	2
8	же это не	1	1
9	что иное как	8	1
10	и в этом	3	1
11	и есть то	1	1
12	по крайней мере	7	1
13	и есть не	1	1
14	не в том	4	1
15	в связи с	1	1
16	но только не	2	1
17	ровно ничего не	6	1
18	и пр но	1	1
19	дело в том	1	1
20	равно как и	2	1
21	то ни другое	1	1
22	одна и та	1	1
23	как бы план	1	1
24	это и будет	1	1
25	в этом смысле	4	1
26	и той же	3	1
27	теперь мы должны	1	1
28	это или нет	1	1
29	а не только	1	1
30	в этом случае	1	1
31	а потом и	1	1
32	не было бы	1	1
33	ничего не сказано	1	1
34	и ни в	1	1
35	вместе с ним	1	1
36	то же время	6	1
37	и в то	2	1
38	но тем не	1	1
39	есть не что	5	1
40	и та же	1	1
41	и именно в	1	1
42	мы не знаем	1	1
43	не имеет с	1	1
44	это значит что	7	1
45	все равно будет	1	1
46	ни о каком	1	1
47	и не может	1	1
48	той или иной	1	1
49	и прежде всего	1	1
50	но все же	1	1
51	и само собою	1	1
52	не более как	1	1
53	в древней греции	1	1
54	может быть только	1	1
55	ни то ни	1	1
56	все же это	1	1
57	в том случае	1	1
58	в то же	6	1
59	это как бы	1	1
60	мы видим что	2	1
61	одной и той	3	1
62	точки зрения уже	1	1
63	не что иное	8	1
64	в том что	9	1
65	в данном случае	1	1
66	общего не имеет	1	1
67	может быть в	1	1
68	в обоих случаях	1	1
69	ничего общего не	2	1
