N	3gram	Nazirov_Vr_1	RusskieA
1	в том что	2	18
2	так же как	1	4
3	о том что	1	4
4	не может быть	2	3
5	о том же	1	3
6	тем не менее	1	2
7	между тем это	1	2
8	в то время	1	2
9	очень хорошо знает	1	1
10	а между тем	1	1
11	не все ясно	1	1
12	в том же	1	1
13	о том как	1	1
14	полной уверенности что	1	1
15	но в этот	1	1
16	ироническое отношение к	1	1
17	в этом отношении	1	1
18	в полной уверенности	1	1
19	но это не	1	1
20	все же в	1	1
21	но и как	1	1
22	может быть и	1	1
23	в это время	1	1
24	во всяком случае	1	1
25	на первый взгляд	1	1
26	к этому образу	1	1
27	и в этом	1	1
28	не только как	1	1
29	с другой стороны	1	1
30	о чем говорилось	1	1
31	далеко не все	1	1
32	в свою очередь	1	1
33	они как бы	1	1
34	на то что	1	1
35	тем более что	1	1
36	это не было	1	1
37	это и есть	1	1
