N	2gram	Propp_Isto_6	Morfolog
1	может быть	11	52
2	и т	10	49
3	т д	8	47
4	и пр	1	40
5	волшебного средства	1	21
6	таким образом	12	20
7	в сказке	23	19
8	представляет собой	2	17
9	не может	6	17
10	в этих	2	16
11	т е	22	16
12	могут быть	3	15
13	этих случаях	1	14
14	с этим	2	14
15	эта форма	1	13
16	и в	26	13
17	в этом	12	13
18	так как	18	12
19	и др	2	12
20	перед нами	2	11
21	чаще всего	5	11
22	мы видим	5	11
23	заметить что	1	10
24	то же	5	9
25	мы имеем	14	9
26	так и	5	9
27	этом случае	6	9
28	не всегда	4	9
29	прежде всего	4	9
30	а не	2	9
31	в связи	1	9
32	и не	10	9
33	а затем	1	8
34	при помощи	3	8
35	что и	4	8
36	с другой	10	8
37	по существу	1	8
38	вопрос о	3	7
39	имеем в	4	7
40	нет необходимости	2	7
41	и этим	5	7
42	или же	2	7
43	в качестве	3	7
44	в тех	3	7
45	все же	8	7
46	но если	1	7
47	этот случай	6	6
48	но не	2	6
49	может считаться	1	6
50	это не	4	6
51	в иное	5	6
52	подобно тому	1	6
53	не могут	1	6
54	и здесь	1	6
55	а также	4	6
56	в форме	2	6
57	в том	12	6
58	иное царство	6	6
59	а в	3	6
60	мы не	6	5
61	во всех	1	5
62	не все	1	5
63	в море	1	5
64	тому как	1	5
65	то что	6	5
66	в образе	10	5
67	здесь можно	7	5
68	далеко не	3	5
69	не менее	1	5
70	потому что	13	5
71	или в	3	5
72	образом мы	1	5
73	этот элемент	1	5
74	один из	3	5
75	если мы	1	5
76	герой получает	2	5
77	наряду с	3	5
78	как бы	4	5
79	это явление	2	5
80	можно наблюдать	2	5
81	и другие	3	5
82	также и	1	4
83	тех же	1	4
84	эта функция	1	4
85	то это	5	4
86	что его	1	4
87	то мы	1	4
88	как в	6	4
89	не хватает	1	4
90	хотя и	1	4
91	и как	2	4
92	не только	10	4
93	на его	4	4
94	на этом	1	4
95	следующим образом	1	4
96	об этом	1	4
97	формах что	1	4
98	его в	5	4
99	было бы	2	4
100	вовсе не	2	4
101	как и	5	4
102	несмотря на	1	4
103	точки зрения	1	4
104	тем не	1	4
105	сказки с	1	4
106	на котором	3	4
107	ничего не	2	4
108	тем что	5	4
109	героя а	1	4
110	очень часто	5	4
111	в сказку	1	4
112	в других	4	4
113	как мы	4	4
