N	3gram	Ircho_Kome_2	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	1	3
4	в отличие от	2	2
5	точно так же	1	2
6	о том что	4	2
7	и в самом	1	2
8	но все же	1	2
9	в том что	5	2
10	в обоих случаях	2	1
11	между отцом и	1	1
12	отцом и сыном	1	1
13	это было в	1	1
14	же время он	1	1
15	имеет в виду	1	1
16	в той же	2	1
17	что он не	1	1
18	и т п	2	1
19	за то что	4	1
20	вместе с ними	1	1
21	в этой связи	1	1
22	во всяком случае	2	1
23	его дочь и	1	1
24	в чем же	1	1
25	обстоит дело с	1	1
26	по сравнению с	1	1
27	тем не менее	1	1
28	с такой силой	1	1
29	в связи с	3	1
30	то что он	2	1
31	вместо того чтобы	1	1
32	не может быть	1	1
33	приходит в голову	1	1
34	с самого начала	1	1
35	в самом деле	1	1
36	один из первых	1	1
37	после того как	2	1
38	к тому что	2	1
39	друг перед другом	1	1
40	в первом же	1	1
