N	2gram	Losev_Dial_1	Komedia
1	и в	18	26
2	и не	30	14
3	и его	1	12
4	к тому	4	12
5	так и	9	12
6	тому же	2	11
7	может быть	17	11
8	в том	9	11
9	в этом	12	10
10	но и	7	10
11	столь же	1	9
12	том что	9	9
13	если бы	12	9
14	вместе с	1	9
15	что в	13	9
16	ясно что	8	8
17	было бы	12	8
18	не только	13	7
19	на себя	1	7
20	что и	3	7
21	из них	2	7
22	еще не	2	6
23	в своем	5	6
24	о том	4	6
25	в нем	16	6
26	таким образом	1	6
27	в то	6	6
28	того чтобы	1	6
29	потому что	14	6
30	наряду с	1	6
31	то что	13	6
32	в которой	1	5
33	что он	11	5
34	так что	15	5
35	с этим	2	5
36	для того	2	5
37	ни в	15	5
38	и с	5	5
39	больше чем	1	5
40	один из	3	5
41	в качестве	2	5
42	к этому	2	5
43	уже в	1	4
44	меньше всего	3	4
45	хотя и	4	4
46	в самом	3	4
47	что это	11	4
48	из этих	2	4
49	с их	1	4
50	это было	2	4
51	в них	3	4
52	как и	2	4
53	в этих	5	4
54	место в	1	4
55	тому что	3	4
56	не менее	2	4
57	как будто	1	4
58	больше того	4	4
59	как мы	4	4
60	что у	1	4
61	сразу же	1	4
62	можно было	5	4
63	еще в	1	4
64	его в	1	4
65	между тем	1	4
66	в его	3	4
67	только в	3	4
68	так как	11	4
69	у него	1	4
70	что для	3	4
71	прежде всего	10	4
72	в частности	2	4
73	как это	4	4
74	все же	5	4
75	и для	2	4
76	и от	2	4
77	точки зрения	17	4
78	речь идет	1	3
79	например в	1	3
80	в котором	4	3
81	то же	10	3
82	в их	3	3
83	той же	1	3
84	вопрос о	2	3
85	в ней	3	3
86	во всех	1	3
87	но не	4	3
88	как в	2	3
89	что касается	2	3
90	но в	6	3
91	так или	1	3
92	в этой	1	3
93	как он	4	3
94	друг другу	3	3
95	но все	3	3
96	в каждом	2	3
97	могла бы	2	3
98	первую очередь	1	3
99	но если	5	3
100	не имеет	15	3
101	того как	1	3
102	же время	4	3
103	связи с	1	3
104	но там	1	3
105	и сам	1	3
106	то время	1	3
107	в образе	1	3
108	к нему	8	3
109	себя в	1	3
110	и их	2	3
111	никто не	2	3
112	представить себе	1	3
113	мы можем	4	3
114	в первую	2	3
115	даже не	3	3
116	или иначе	1	3
117	здесь в	2	3
118	не было	6	3
119	о чем	2	3
120	в связи	1	3
121	да и	6	3
122	с этой	2	3
123	все это	11	3
124	мы найдем	1	3
125	для нас	1	3
126	а в	5	3
127	в своей	2	3
128	жизни и	3	3
129	не может	12	3
130	как известно	1	2
131	и т	21	2
132	только потому	3	2
133	стали бы	1	2
134	и есть	16	2
135	перед лицом	1	2
136	мы имеем	2	2
137	мы не	1	2
138	из самых	1	2
139	время как	2	2
140	говорить о	5	2
141	то это	4	2
142	в виду	5	2
143	есть для	2	2
144	в ее	1	2
145	и другие	1	2
146	если в	3	2
147	отнюдь не	9	2
148	и я	1	2
149	мы стали	1	2
150	и вовсе	1	2
151	что именно	2	2
152	что по	1	2
153	от этого	3	2
154	да еще	1	2
155	однако даже	1	2
156	с той	2	2
157	бы и	2	2
158	сказать о	1	2
159	и если	1	2
160	что она	7	2
161	после этого	1	2
162	он не	3	2
163	и еще	3	2
164	в силу	1	2
165	что ни	3	2
166	на этом	2	2
167	же не	1	2
168	об этом	4	2
169	это не	9	2
170	этом смысле	3	2
171	надо считать	2	2
172	на сцене	1	2
173	не всегда	1	2
174	в развитии	1	2
175	не более	1	2
176	всяком случае	2	2
177	представление о	1	2
178	которые в	1	2
179	не в	6	2
180	в конце	4	2
181	вовсе не	7	2
182	даже в	3	2
183	что их	2	2
184	не является	3	2
185	с другом	1	2
186	и почему	1	2
187	в духе	1	2
188	всего в	1	2
189	на это	1	2
190	от которой	2	2
191	и это	2	2
192	как не	2	2
193	с самого	1	2
194	так в	1	2
195	и что	12	2
196	в мире	2	2
197	их точки	1	2
198	не приходит	1	2
199	или на	2	2
200	на что	2	2
201	и все	3	2
202	обоих случаях	1	2
203	вслед за	2	2
204	представления о	1	2
205	все время	1	2
206	все больше	1	2
207	же можно	2	2
208	и некая	1	2
209	речь о	1	2
210	с ними	2	2
211	в какой	1	2
212	или его	2	2
213	что наши	1	2
214	с одной	2	2
215	и у	2	2
216	является не	2	2
217	у того	1	2
218	т п	2	2
219	не для	1	2
220	отношение к	5	2
221	от того	1	2
222	ничуть не	2	2
223	нет и	1	2
224	со стороны	2	2
225	и к	1	2
226	до сих	2	2
227	с другой	6	2
228	нового времени	1	2
229	одной стороны	2	2
230	а на	1	2
231	с которым	1	2
232	если не	1	2
233	мы находим	7	2
234	в той	1	2
235	как бы	11	2
236	кто из	1	2
237	друг с	1	2
238	сих пор	2	2
239	бы в	3	2
240	еще более	3	2
241	хотя бы	6	2
242	ни было	2	2
243	к его	1	2
244	из этого	1	2
245	и жизнь	1	2
246	в голову	1	2
247	во всяком	4	2
248	отличалось от	1	1
249	говоря о	2	1
250	отношения к	3	1
251	и отчасти	1	1
252	самом деле	3	1
253	мере в	1	1
254	мы имели	1	1
255	как результат	2	1
256	что эти	1	1
257	и этот	1	1
258	по его	1	1
259	на первый	1	1
260	сравнению с	2	1
261	для своего	2	1
262	при случае	1	1
263	учения об	1	1
264	это что	2	1
265	та же	3	1
266	получить в	1	1
267	в полной	2	1
268	в самих	1	1
269	они были	2	1
270	же что	1	1
271	понятие это	1	1
272	думаю что	1	1
273	и самого	1	1
274	вывод что	1	1
275	все эти	2	1
276	не был	2	1
277	качестве примера	2	1
278	в различных	1	1
279	в чем	6	1
