N	2gram	Medvedev_B_1	Problema
1	и не	2	28
2	не только	1	24
3	и в	1	20
4	у нас	3	14
5	было бы	1	14
6	прежде всего	1	11
7	как будто	1	11
8	отнюдь не	1	10
9	так и	1	10
10	все это	2	9
11	таким образом	1	8
12	во всяком	1	8
13	в ней	2	7
14	еще не	1	7
15	с другой	1	7
16	а не	1	7
17	и потому	1	7
18	об этом	1	6
19	в данном	1	6
20	по крайней	1	6
21	крайней мере	1	6
22	другой стороны	1	6
23	на самом	1	5
24	и о	1	5
25	кроме того	1	4
26	в своей	1	4
27	всяком случае	1	4
28	можно было	2	4
29	никак не	1	4
30	и во	1	4
31	тем более	1	4
32	одной из	1	4
33	и ее	1	4
34	и на	1	3
35	в области	1	3
36	не было	1	3
37	и более	1	3
38	совершенно не	1	3
39	что в	1	3
40	говорить о	1	2
41	не вполне	1	2
42	не то	2	2
43	за пределы	1	2
44	является только	1	2
45	все же	1	2
46	далеко не	1	2
47	к ней	1	2
48	в пределах	1	2
49	в значительной	1	2
50	выходит за	1	2
51	будто бы	1	2
52	также что	1	1
53	вопрос о	1	1
54	свободная от	1	1
55	теории литературы	1	1
56	ведь понятие	1	1
57	не все	1	1
58	так по	1	1
59	можно в	1	1
60	остановиться на	1	1
61	бы только	1	1
62	сейчас в	1	1
63	заставляет думать	1	1
64	и меньше	1	1
65	литературы как	1	1
66	нас еще	1	1
67	всего в	1	1
68	что все	1	1
69	только более	1	1
70	то как	1	1
71	ней только	1	1
72	в научном	1	1
73	в эпоху	1	1
74	художественного произведения	1	1
75	на которой	1	1
76	не о	1	1
77	со всем	1	1
78	до конца	1	1
79	то нельзя	1	1
80	и нет	1	1
81	этой книги	1	1
82	между ними	1	1
83	также не	1	1
