N	4gram	Losev_Dial_1	Marksizm
1	в то же время	4	3
2	в связи с этим	1	3
3	лишь с точки зрения	1	2
4	на самом же деле	1	2
5	но в то же	1	2
6	одной и той же	1	2
7	сказать что почти все	1	1
8	до сих пор не	1	1
9	с точки зрения самого	2	1
10	ничего не имеет общего	1	1
11	одна и та же	2	1
12	с их точки зрения	1	1
13	это значит что в	2	1
14	можно сказать что почти	1	1
15	лежащая в ее основе	1	1
16	наука до сих пор	1	1
17	отчет в том что	1	1
18	не понимают и не	1	1
19	если бы они были	1	1
20	различие внутреннего и внешнего	1	1
