N	3gram	Berdyaev_O_1	KulturaY
1	для того чтобы	3	15
2	в том что	1	15
3	в самом деле	1	7
4	о том что	1	5
5	в этом отношении	1	5
6	во всяком случае	1	5
7	не в том	1	4
8	о том как	1	3
9	не может быть	2	3
10	на то что	1	2
11	в иных случаях	1	2
12	в каждом из	1	2
13	и в самом	1	2
14	как это часто	1	1
15	как например в	1	1
16	не в силах	1	1
17	и мысли в	1	1
18	это было бы	2	1
19	так и не	1	1
20	находится в противоречии	1	1
21	том случае если	1	1
22	бы в самой	1	1
23	в строгом смысле	1	1
24	и не в	1	1
25	в том случае	1	1
26	и дело что	1	1
27	бы и не	1	1
28	в виду не	1	1
29	в противоречии с	1	1
30	и в его	1	1
31	а вовсе не	1	1
32	я имею в	1	1
33	том-то и дело	1	1
34	само по себе	1	1
35	вместо того чтобы	1	1
36	в совершенно ином	1	1
37	и больше всего	1	1
38	это потому что	1	1
39	и все же	1	1
40	имею в виду	1	1
41	от того что	1	1
42	с тем что	2	1
43	одно из самых	1	1
44	в дневнике писателя	2	1
45	смысле этого слова	1	1
46	свои силы в	1	1
47	после того как	1	1
48	что не все	1	1
49	в том-то и	1	1
50	в братьях карамазовых	1	1
