N	2gram	Tiupa_Vved_1	Problema
1	то есть	8	46
2	в его	4	43
3	и не	12	42
4	и в	13	38
5	не может	7	27
6	может быть	18	26
7	как бы	4	22
8	по отношению	7	21
9	в художественном	1	20
10	отнюдь не	7	19
11	отношению к	7	19
12	и с	2	17
13	и его	5	16
14	в этом	21	15
15	в нем	5	15
16	только в	6	13
17	прежде всего	7	13
18	но не	5	12
19	в искусстве	1	12
20	во всех	2	11
21	в области	3	11
22	и для	3	11
23	не входит	1	10
24	отношение к	2	10
25	таким образом	4	10
26	в их	1	10
27	к нему	1	10
28	не только	20	9
29	не имеет	2	9
30	имеет дело	1	9
31	но и	19	9
32	входит в	1	8
33	было бы	4	8
34	точки зрения	1	8
35	место в	2	8
36	произведения как	1	8
37	в том	10	8
38	и др	1	8
39	то что	6	8
40	еще не	7	7
41	в самом	2	7
42	вообще не	1	7
43	как и	11	7
44	и становится	1	7
45	не в	6	7
46	как мы	3	7
47	с другой	5	7
48	между тем	1	7
49	слова в	2	7
50	с помощью	1	7
51	объекта и	1	7
52	в своей	5	7
53	что в	3	7
54	самом деле	3	6
55	на основе	1	6
56	и наконец	2	6
57	в пределах	2	6
58	не к	4	6
59	не всегда	2	6
60	дело с	2	6
61	мы можем	2	6
62	произведение в	2	6
63	все же	6	6
64	а в	6	6
65	высшей степени	2	5
66	отличие от	2	5
67	в своем	5	5
68	все эти	1	5
69	при этом	26	5
70	то же	5	5
71	это не	6	5
72	в них	2	5
73	в высшей	2	5
74	далеко не	4	5
75	в отличие	2	5
76	так и	8	5
77	в основе	3	5
78	остается за	1	5
79	и о	1	5
80	никогда не	4	5
81	с ним	3	5
82	и прежде	1	5
83	не на	1	5
84	а не	15	5
85	могут быть	4	5
86	быть только	2	5
87	все они	2	5
88	имеет место	4	5
89	на самом	4	4
90	должна быть	2	4
91	в виду	1	4
92	в ней	4	4
93	конечном счете	1	4
94	относится к	1	4
95	не входят	1	4
96	как в	4	4
97	но в	6	4
98	в нашем	6	4
99	в себе	5	4
100	перестает быть	1	4
101	произведение как	1	4
102	в данном	13	4
103	не менее	4	4
104	но они	2	4
105	тем самым	5	4
106	в то	4	4
107	чтобы стать	2	4
108	известной степени	1	4
109	здесь не	2	4
110	в ее	1	4
111	данном случае	6	4
112	в произведении	1	4
113	можно было	2	4
114	не с	3	4
115	о том	5	4
116	в конечном	1	4
117	которых мы	1	4
118	всех его	1	4
119	в форме	1	4
120	и только	1	4
121	к которому	2	4
122	что не	1	4
123	в романе	6	4
124	только по	1	4
125	и потому	1	4
126	момент как	1	4
127	хотя бы	1	4
128	может и	1	4
129	между ними	1	4
130	сказать что	1	4
131	другой стороны	2	4
132	также и	4	3
133	например в	2	3
134	противном случае	1	3
135	едва ли	3	3
136	говорить о	2	3
137	композиционных форм	2	3
138	сказать и	1	3
139	точка зрения	3	3
140	произведение не	1	3
141	связи и	1	3
142	и к	2	3
143	в целом	3	3
144	вследствие этого	3	3
145	он не	3	3
146	в мире	8	3
147	а как	1	3
148	с другими	1	3
149	и тем	2	3
150	в слове	3	3
151	несмотря на	1	3
152	том что	7	3
153	тем не	3	3
154	на него	2	3
155	как его	2	3
156	в противном	1	3
157	имеем дело	3	3
158	же время	3	3
159	все то	1	3
160	слова но	2	3
161	в событии	4	3
162	хотя и	7	3
163	и от	2	3
164	начало и	2	3
165	приводит к	2	3
166	если бы	7	3
167	основе своей	1	3
168	природы и	1	3
169	этом смысле	1	3
170	но с	1	3
171	мы увидим	1	3
172	с одной	5	3
173	и даже	1	3
174	бытия в	2	3
175	оно не	1	3
176	одной стороны	5	3
177	на фоне	2	3
178	связь с	1	3
179	и на	3	3
180	да и	1	3
181	слова и	1	3
182	но это	3	3
183	все это	1	3
184	не является	3	3
185	она может	1	3
186	и все	4	3
187	не знает	1	3
188	в таком	1	3
189	все что	3	3
190	они не	1	3
191	относится и	1	2
192	он может	1	2
193	в котором	8	2
194	мы имеем	5	2
195	и функция	1	2
196	но она	1	2
197	не вполне	3	2
198	это отношение	1	2
199	и он	1	2
200	оно может	1	2
201	событие как	2	2
202	столь же	1	2
203	но как	1	2
204	а только	1	2
205	не все	2	2
206	в едином	3	2
207	в истории	1	2
208	как к	1	2
209	к чему	1	2
210	и у	1	2
211	что это	1	2
212	их исторической	1	2
213	бы не	2	2
214	ни одна	1	2
215	лица и	1	2
216	на то	1	2
217	а к	3	2
218	не следует	3	2
219	в лирике	1	2
220	в корне	1	2
221	на этом	1	2
222	человека в	1	2
223	здесь мы	1	2
224	лишь в	2	2
225	эти моменты	1	2
226	о которых	1	2
227	как таковой	1	2
228	и конец	2	2
229	на первый	1	2
230	или точнее	1	2
231	и более	3	2
232	том же	1	2
233	случае мы	1	2
234	одна из	4	2
235	в единство	1	2
236	того чтобы	1	2
237	во всем	1	2
238	а лишь	2	2
239	связи с	1	2
240	так называемый	1	2
241	этом отношении	4	2
242	у нас	1	2
243	к себе	1	2
244	есть только	1	2
245	же самое	1	2
246	в работах	1	2
247	должен быть	1	2
248	что все	1	2
249	она только	1	2
250	степени и	1	2
251	особенно в	1	2
252	том как	3	2
253	психический процесс	1	2
254	и что	1	2
255	словесного творчества	1	2
256	в значительной	1	2
257	от них	1	2
258	автор как	1	2
259	человека как	1	2
260	в него	1	2
261	мир в	1	2
262	того что	6	2
263	в современной	3	2
264	в двух	1	2
265	что он	1	2
266	в какой	4	2
267	и ее	1	2
268	себя в	1	2
269	не можем	2	2
270	не обходится	1	2
271	в нашей	1	2
272	в виде	1	2
273	в начале	3	2
274	что содержание	1	2
275	что и	2	2
276	вовсе не	1	2
277	последние годы	1	2
278	случае не	1	2
279	которые могут	1	2
280	тем что	2	2
281	в особенности	1	2
282	событие в	1	2
283	или иной	3	2
284	не было	2	2
285	о художественном	1	2
286	в связи	1	2
287	именно поэтому	1	2
288	человек в	1	2
289	в частности	13	2
290	как это	1	2
291	в строгом	1	2
292	и оценки	1	2
293	из которых	1	2
294	к своему	1	2
295	можно сказать	4	2
296	в культуре	1	2
297	в событие	1	2
298	или в	1	2
299	о котором	2	2
300	той или	3	2
301	мы должны	1	2
302	но зато	1	2
303	в этих	3	2
304	в равной	1	2
305	от ее	1	2
306	в свою	4	2
307	к его	3	2
308	в своих	2	2
309	по поводу	2	2
310	к этому	2	2
311	обращена к	1	1
312	в сфере	1	1
313	дело обстоит	1	1
314	тех же	1	1
315	не выбирает	1	1
316	мере в	2	1
317	к данному	1	1
318	который можно	1	1
319	от своей	1	1
320	в первом	2	1
321	этом направлении	1	1
322	из всех	1	1
323	который в	2	1
324	дано нам	1	1
325	нуждаются в	1	1
326	мир не	1	1
327	язык как	2	1
328	нам в	1	1
329	во внутреннем	1	1
330	высказывания в	1	1
331	что иное	1	1
332	на себя	1	1
333	с ее	1	1
334	жизни как	1	1
335	в принципиальной	1	1
336	подчеркнуть что	5	1
337	в каждой	1	1
338	и самого	1	1
339	иное как	1	1
340	романе вообще	1	1
341	на своих	1	1
342	по своему	2	1
343	то он	2	1
344	в противовес	3	1
345	к слову	1	1
346	в новом	1	1
347	смысловое единство	1	1
348	которые не	1	1
349	идет о	1	1
350	стороны и	1	1
351	могли бы	1	1
352	целый ряд	2	1
353	как уже	1	1
354	имеет в	1	1
355	в противоположность	1	1
356	именно эта	1	1
357	то в	1	1
358	бы и	4	1
359	и внутреннего	1	1
360	в литературном	1	1
361	всего романа	1	1
362	восприятия как	1	1
363	в этой	1	1
364	и смысловая	1	1
365	но он	1	1
366	имеются только	1	1
367	как он	2	1
368	высказывания не	1	1
369	и если	1	1
370	как оно	2	1
371	которой не	1	1
372	всех этих	1	1
373	в принципе	1	1
374	они служат	1	1
375	не как	2	1
376	которому она	1	1
377	и вот	1	1
378	ему на	1	1
379	целом как	1	1
380	подобно тому	2	1
381	так например	1	1
382	в нее	1	1
383	что является	1	1
384	этом последнем	1	1
385	назвать и	1	1
386	непосредственно а	1	1
387	могла бы	3	1
388	в совершенно	1	1
389	значение в	1	1
390	бы быть	1	1
391	себя не	1	1
392	нашем случае	2	1
393	или просто	1	1
394	и иных	1	1
395	и мы	1	1
396	для них	3	1
397	он является	2	1
398	все равно	2	1
399	под вопросом	1	1
400	этого не	1	1
401	с тем	1	1
402	она неизбежно	1	1
403	автора и	1	1
404	обратимся к	2	1
405	ценностно направленная	1	1
406	восприятия и	1	1
407	или что-то	1	1
408	некоторого события	1	1
409	самый момент	1	1
410	к одному	1	1
411	в которых	1	1
412	бы мы	1	1
413	определяется как	1	1
414	однако в	4	1
415	по себе	2	1
416	тому что	1	1
417	что есть	1	1
418	можно ли	1	1
419	вплоть до	1	1
420	до известной	1	1
421	как о	2	1
422	не имели	2	1
423	своим пониманием	1	1
424	как формы	1	1
425	находятся в	1	1
426	вследствие того	1	1
427	не разделяет	1	1
428	во всей	1	1
429	мире и	1	1
430	сознанием и	1	1
431	в сознании	4	1
432	в процессе	1	1
433	не столь	1	1
434	ли это	2	1
435	однако это	1	1
436	именно то	1	1
437	от их	1	1
438	сказанного но	1	1
439	последующие замечания	1	1
440	значительной степени	1	1
441	его с	2	1
442	для его	1	1
443	анализа в	1	1
444	опыта и	1	1
445	свою очередь	4	1
446	события как	1	1
447	характер и	1	1
448	если в	2	1
449	за пределами	3	1
450	действия и	1	1
451	и иные	1	1
452	как с	1	1
453	на том	1	1
454	что у	1	1
455	по аналогии	1	1
456	было в	1	1
457	мог бы	1	1
458	оно как	1	1
459	осуществляется в	1	1
460	глубоко и	1	1
461	в одном	1	1
462	это только	2	1
463	строго говоря	2	1
464	касается в	1	1
465	где каждый	1	1
466	с человеком	2	1
467	о ней	4	1
468	моменты не	1	1
469	области эстетического	1	1
470	настоящее время	1	1
471	может обладать	1	1
472	для нас	2	1
473	а также	8	1
474	события в	1	1
475	положения и	1	1
476	на протяжении	1	1
477	и смысловой	1	1
478	нем не	1	1
479	тем или	1	1
480	возникает и	2	1
481	во втором	2	1
482	полноту и	2	1
483	что активно	1	1
484	лишь к	1	1
485	и отдельные	1	1
486	и борьбы	1	1
487	несколько иначе	1	1
488	быть и	2	1
489	к которой	1	1
490	уже принадлежит	1	1
491	субъекта в	1	1
492	к их	1	1
493	и иными	1	1
494	обращаться к	1	1
495	они могут	1	1
496	в контексте	1	1
497	между этими	1	1
498	и теперь	1	1
499	есть в	2	1
500	со своим	1	1
501	уже не	5	1
502	только на	1	1
503	и чисто	1	1
504	или даже	1	1
505	из них	1	1
506	его и	1	1
507	и понимание	1	1
508	глаза и	1	1
509	этом в	1	1
510	для него	3	1
511	сопротивление или	1	1
512	сами по	1	1
513	ее не	2	1
514	к ним	2	1
515	не о	2	1
516	может служить	4	1
517	только с	1	1
518	природой и	1	1
519	на их	1	1
520	служебные функции	1	1
521	подходом к	1	1
522	точек зрения	2	1
523	или иначе	2	1
524	а о	1	1
525	личной жизни	1	1
526	человеческого мышления	1	1
527	обратиться к	2	1
528	равной степени	1	1
529	только что	1	1
530	связано с	3	1
531	а на	2	1
532	на этот	1	1
533	пушкина как	1	1
534	до конца	3	1
535	власти и	1	1
536	человеческой жизни	3	1
537	не совсем	1	1
538	так называемой	1	1
539	таким например	1	1
540	о чем	2	1
541	на эту	1	1
542	что мы	2	1
543	художественного целого	1	1
544	стороны в	1	1
545	но оно	1	1
546	вместе с	1	1
547	так же	1	1
548	и особенно	1	1
549	смысл который	2	1
550	происходит в	1	1
551	в историю	2	1
552	однако для	1	1
553	но никогда	1	1
554	ни от	2	1
555	его остается	1	1
556	создается не	2	1
557	в той	4	1
558	тому как	2	1
559	же их	1	1
560	первом случае	1	1
561	события из	1	1
562	в тот	1	1
563	слов в	1	1
564	быть не	4	1
565	события а	1	1
566	благодаря этому	1	1
567	аналогии с	1	1
568	в смысловом	2	1
569	которое может	1	1
570	материале и	1	1
571	это уже	1	1
572	искусства это	1	1
573	сам же	1	1
574	в следующей	1	1
575	не существует	2	1
576	к тому	6	1
577	не подлежит	1	1
578	первом и	1	1
579	в результате	3	1
580	мира и	2	1
581	которой можно	1	1
582	которая в	3	1
583	в настоящее	1	1
584	взаимодействия и	1	1
585	для современной	1	1
586	бы в	3	1
587	еще более	1	1
588	хотя в	1	1
589	отношении к	1	1
590	жизни в	4	1
591	но если	1	1
592	а со	1	1
593	себе самому	1	1
594	жизни а	1	1
595	не что	1	1
596	из этого	1	1
597	но именно	1	1
598	действия или	1	1
599	жизни и	7	1
600	но эти	1	1
601	к этой	1	1
602	прийти в	1	1
603	которая не	2	1
604	слова это	1	1
