N	3gram	Bakhtin_Fr_8	Stilisti
1	в то же	10	9
2	то же время	10	7
3	для того чтобы	2	7
4	с точки зрения	2	5
5	с самого начала	1	4
6	то же самое	1	4
7	той или иной	1	4
8	прежде всего в	1	4
9	в той же	3	3
10	на самом деле	1	3
11	как мы видели	2	3
12	но и в	1	3
13	как мы уже	2	3
14	о том что	2	2
15	и в то	5	2
16	но в то	2	2
17	мы видели что	3	2
18	можно сказать что	2	2
19	и как бы	1	2
20	как бы в	1	2
21	и в основе	1	2
22	в связи с	3	2
23	вместе с тем	1	2
24	мы видим что	2	2
25	но при этом	1	2
26	в этом отношении	1	2
27	и т.п но	1	2
28	не может быть	2	2
29	мы не можем	1	1
30	и в развитии	1	1
31	здесь как бы	2	1
32	до наших дней	1	1
33	которые с точки	1	1
34	в большинстве случаев	6	1
35	вопрос о том	1	1
36	были связаны с	2	1
37	и в таких	1	1
38	по сравнению с	1	1
39	в одном и	1	1
40	лишь там где	1	1
41	и в эти	1	1
42	в другом месте	3	1
43	и в этом	1	1
44	не только не	2	1
45	в наши дни	1	1
46	и при этом	1	1
47	те времена когда	1	1
48	и в наши	1	1
49	с другой стороны	2	1
50	она должна была	1	1
51	ключ к пониманию	1	1
52	в те времена	2	1
53	и в особенности	2	1
54	в том что	6	1
55	в нем и	2	1
56	между этими двумя	1	1
57	эти слова и	1	1
58	можно было бы	1	1
59	из точек зрения	1	1
60	по отношению к	1	1
61	и не могут	1	1
62	таким образом в	1	1
63	и приближается к	1	1
64	но ведь в	1	1
65	и официальной в	1	1
66	более или менее	2	1
67	мы в нем	1	1
68	и в отношении	1	1
69	язык в процессе	1	1
70	как мы видим	1	1
71	точку зрения на	1	1
72	слов и выражений	1	1
73	на вопрос о	1	1
74	и в романе	2	1
75	как к своему	1	1
76	уже говорили в	1	1
77	в обычных условиях	1	1
78	и т.д в	1	1
79	в самом деле	1	1
80	в ее наиболее	2	1
81	нужно отметить что	1	1
82	слов выражений и	1	1
83	но если бы	1	1
84	в отношении языка	1	1
85	это как бы	1	1
86	как и в	4	1
87	до сих пор	8	1
88	возникновение и развитие	1	1
