N	3gram	Savitsky_P_1	FransuaR
1	то же время	7	9
2	в то же	7	9
3	в том числе	2	4
4	с точки зрения	3	3
5	за то что	1	3
6	но в то	1	3
7	в том что	4	3
8	более или менее	1	2
9	в большинстве случаев	1	2
10	том числе и	1	2
11	все это в	1	2
12	бы оно ни	1	2
13	в отрыве от	1	2
14	в этом мире	1	1
15	что в этом	1	1
16	есть прежде всего	1	1
17	гораздо большей степени	4	1
18	св георгия в	1	1
19	в различных формах	1	1
20	же время в	1	1
21	но и в	2	1
22	в гораздо большей	4	1
23	в применении к	1	1
24	не только в	4	1
25	в области архитектуры	1	1
26	и в этом	1	1
27	только в ее	1	1
28	во всяком случае	1	1
29	и тем самым	1	1
30	большей степени чем	1	1
31	именно потому что	1	1
32	тем более что	1	1
33	в этом смысле	1	1
