N	4gram	Bakhtin_sl_1	Problema
1	в то же время	12	3
2	входит в эстетический объект	1	2
3	с точки зрения самого	2	2
4	во всех своих моментах	1	2
5	бы то ни было	1	2
6	и в то же	5	2
7	в большинстве случаев не	1	2
8	дело в том что	1	1
9	никогда не может быть	1	1
10	оно не выходит за	1	1
11	и с точки зрения	1	1
12	или в лучшем случае	1	1
13	на самом же деле	1	1
14	и в том и	2	1
15	и т п и	1	1
16	во всех его моментах	4	1
17	не выходит за пределы	3	1
18	в то время как	2	1
19	всех его моментах как	1	1
20	но в то же	4	1
21	а иногда и прямо	1	1
22	том и в другом	2	1
23	не входит в эстетический	1	1
24	то же время этот	1	1
25	в том и в	2	1
26	точка зрения на мир	1	1
27	бы они ни были	1	1
