N	4gram	Bakhtin_Fr_7	formyVre
1	в то же время	9	6
2	как мы уже говорили	1	3
3	дело в том что	2	2
4	в том числе и	2	2
5	же что и у	2	1
6	мы уже указывали что	1	1
7	в самом человеке и	1	1
8	мы имеем в виду	2	1
9	были чрезвычайно распространены в	1	1
10	в средние века и	1	1
11	тем чем они были	1	1
12	почти ничего не осталось	1	1
13	которые были чрезвычайно распространены	1	1
14	и прежде всего в	1	1
15	здесь как и в	1	1
16	громадную роль в истории	1	1
17	мы еще вернемся в	1	1
18	на другой день после	1	1
19	но в то же	3	1
