N	3gram	Vinokur_Ku_2	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	3	3
4	с точки зрения	8	2
5	в году в	1	2
6	не может быть	4	2
7	в том что	10	2
8	а следовательно и	2	1
9	то что я	1	1
10	в этом смысле	5	1
11	в соответствии с	2	1
12	это дает нам	1	1
13	но ведь не	1	1
14	до сих пор	1	1
15	не было бы	1	1
16	в этом отношении	3	1
17	но это не	1	1
18	точно так же	3	1
19	с тех пор	1	1
20	по крайней мере	6	1
21	и то что	1	1
22	может быть и	1	1
23	это не было	1	1
24	едва ли не	1	1
25	так же как	2	1
26	тем что он	2	1
27	к вопросу о	2	1
28	ответ на это	1	1
29	в конце концов	3	1
30	в известном смысле	1	1
31	что к этому	1	1
32	пишущий эти строки	1	1
33	во всяком случае	5	1
34	с другой стороны	7	1
35	связи с этим	1	1
36	тем не менее	5	1
37	заключается в том	1	1
38	в то время	1	1
39	в свою очередь	2	1
40	о том что	1	1
41	ни тот ни	1	1
42	не забудем что	1	1
43	и никогда не	1	1
44	и в самом	2	1
45	еще один пример	1	1
46	на то что	2	1
47	в своем дневнике	1	1
48	тот ни другой	1	1
49	не только от	1	1
50	и с первого	1	1
51	речь идет о	1	1
