N	2gram	Propp_Russ_2	NovoeSre
1	а не	4	17
2	и в	29	16
3	не может	5	16
4	совсем не	2	12
5	и не	1	11
6	и есть	1	10
7	что в	22	9
8	в том	22	8
9	в этом	11	7
10	к новому	1	7
11	в новой	2	7
12	может быть	13	7
13	не будет	1	7
14	как и	11	7
15	не в	4	6
16	никогда не	2	6
17	но это	1	6
18	должен быть	2	5
19	в ней	1	5
20	не только	10	5
21	все это	10	5
22	в нем	1	5
23	не во	1	4
24	о том	9	4
25	в них	4	4
26	то что	5	4
27	это не	5	4
28	прежде всего	2	4
29	не было	2	4
30	должно быть	2	4
31	и потому	1	4
32	по своему	1	4
33	не менее	2	4
34	и для	2	4
35	не имеет	3	4
36	и все	4	4
37	потому что	5	4
38	с другой	2	3
39	в ее	3	3
40	в ночи	1	3
41	вопрос о	4	3
42	человека и	1	3
43	еще не	6	3
44	во всех	3	3
45	как в	7	3
46	к ним	1	3
47	возвращение к	1	3
48	подобно тому	3	3
49	но и	8	3
50	и пр	2	3
51	с тем	6	3
52	в своей	2	3
53	к жизни	5	3
54	в новое	1	3
55	тому как	3	3
56	она не	3	3
57	эти формы	1	3
58	в основе	1	3
59	к ее	1	3
60	жизни в	2	3
61	в духе	1	3
62	сказать что	1	3
63	и это	1	2
64	же как	4	2
65	это и	2	2
66	время как	1	2
67	в нашу	1	2
68	можно было	2	2
69	так и	1	2
70	от старого	1	2
71	природе и	1	2
72	мы не	6	2
73	и с	10	2
74	для этого	5	2
75	но она	2	2
76	и что	5	2
77	и на	6	2
78	в религии	1	2
79	должно было	3	2
80	но не	5	2
81	все время	1	2
82	с этим	2	2
83	хотя и	1	2
84	но в	5	2
85	который в	1	2
86	все эти	3	2
87	с одной	2	2
88	есть в	2	2
89	уже не	4	2
90	вернуться к	1	2
91	не могла	1	2
92	не будут	1	2
93	не к	2	2
94	том чтобы	2	2
95	что она	3	2
96	в одну	1	2
97	что все	1	2
98	нет и	1	2
99	и даже	1	2
100	связаны с	3	2
101	в природе	3	2
102	зависит от	1	2
103	для чего	1	2
104	том что	22	2
105	от религии	1	2
106	вместе с	6	2
107	так же	4	2
108	место в	1	2
109	одной стороны	2	2
110	мир и	1	2
111	другой стороны	1	2
