N	2gram	Propp_Russ_1	FransuaR
1	и в	36	65
2	то есть	3	45
3	и др	4	24
4	как бы	5	22
5	и не	6	22
6	в том	17	16
7	в этом	12	15
8	но в	2	14
9	в нем	2	13
10	мы уже	1	12
11	и на	10	11
12	все эти	2	10
13	не только	22	10
14	и его	1	10
15	так и	7	10
16	но и	16	10
17	и потому	2	10
18	во всех	4	9
19	в его	2	9
20	все это	6	9
21	форм и	1	9
22	всех этих	2	8
23	в своем	3	8
24	в основе	1	8
25	в духе	1	8
26	в дальнейшем	2	8
27	по своему	1	8
28	и другие	13	8
29	его в	1	7
30	точки зрения	3	7
31	в области	3	7
32	только в	4	7
33	влияние на	1	7
34	жизни и	1	7
35	на самом	2	6
36	в году	2	6
37	они были	2	6
38	в ней	2	6
39	еще не	4	6
40	все же	5	6
41	и у	5	6
42	главным образом	2	6
43	при этом	6	6
44	том что	19	6
45	как мы	10	6
46	одно из	5	6
47	так как	15	6
48	может быть	8	6
49	не знает	1	6
50	сказать что	1	6
51	с его	1	5
52	отличие от	1	5
53	как в	5	5
54	в них	6	5
55	как и	10	5
56	земли и	1	5
57	есть в	1	5
58	потому что	10	5
59	между тем	7	5
60	в одном	3	5
61	еще и	1	5
62	и пр	2	5
63	в частности	2	5
64	в той	1	5
65	и все	1	5
66	в своих	2	5
67	и до	2	4
68	в общем	1	4
69	и к	3	4
70	поэтому и	1	4
71	в этой	1	4
72	были связаны	2	4
73	входит в	4	4
74	во время	14	4
75	в их	4	4
76	в отличие	1	4
77	мы остановимся	1	4
78	связи с	4	4
79	в жизни	2	4
80	из них	8	4
81	это как	1	4
82	для нас	6	4
83	между ними	1	4
84	можно говорить	2	3
85	самом деле	1	3
86	жизни здесь	1	3
87	по его	1	3
88	жизни как	1	3
89	не просто	2	3
90	уже не	6	3
91	но все	3	3
92	то что	6	3
93	в себе	1	3
94	и с	2	3
95	на этой	2	3
96	и других	7	3
97	это не	10	3
98	весь мир	1	3
99	далеко не	3	3
100	он и	1	3
