N	3gram	Medvedev_U_1	TeoriaLi
1	в том что	2	6
2	то же время	3	6
3	в то же	3	6
4	в данном случае	1	5
5	более или менее	1	4
6	в конечном счете	4	4
7	с другой стороны	3	3
8	можно сказать что	1	3
9	в этом смысле	2	3
10	в противном случае	2	2
11	с одной стороны	1	2
12	так или иначе	1	2
13	в эстетический объект	1	2
14	тех или иных	2	2
15	не может быть	4	2
16	но прежде всего	1	1
17	а между тем	2	1
18	говоря иначе в	1	1
19	это было бы	1	1
20	имеем в виду	1	1
21	в этом случае	1	1
22	и в то	1	1
23	не входит в	1	1
24	бы то ни	3	1
25	эстетического объекта и	1	1
26	по крайней мере	2	1
27	в искусстве от	1	1
28	этом смысле можно	1	1
29	в художественном произведении	2	1
30	то ни было	3	1
31	по себе еще	1	1
32	не могут быть	2	1
33	и в этой	2	1
34	не только к	1	1
35	искусства в его	1	1
36	в первую очередь	1	1
37	научному анализу и	1	1
38	между тем в	1	1
39	и прежде всего	1	1
40	но в то	1	1
41	мы имеем в	1	1
42	в частности с	1	1
43	входит в эстетический	1	1
44	что такое искусство?	1	1
45	и некоторыми другими	1	1
46	в его эстетической	1	1
