N	2gram	Losev_Prob_5	ViktorSh
1	конце концов	6	2
2	и в	30	2
3	том что	17	2
4	в том	12	2
5	в конце	8	2
6	и только	2	1
7	крайней мере	4	1
8	тем более	1	1
9	в устах	1	1
10	не стоило	1	1
11	под влиянием	1	1
12	в другом	3	1
13	хотя бы	2	1
14	и не	12	1
15	все время	3	1
16	и его	6	1
17	потому что	13	1
18	я не	2	1
19	даже не	1	1
20	сводится к	1	1
21	хотел сказать	1	1
22	и то	5	1
23	самом деле	2	1
24	все это	1	1
25	по поводу	2	1
26	именно в	3	1
27	главным образом	1	1
28	в их	1	1
29	дело в	2	1
30	с большой	1	1
31	в частности	4	1
32	стоит на	1	1
33	время в	1	1
34	в значительной	2	1
35	в самом	5	1
36	для них	3	1
37	только в	9	1
38	то же	2	1
39	ясно что	4	1
40	так как	6	1
41	и мало	1	1
42	далеко не	4	1
43	но это	1	1
44	в этом	17	1
45	да и	2	1
46	имеется в	1	1
47	по крайней	4	1
48	а только	1	1
49	по существу	2	1
50	к этому	2	1
51	за свою	1	1
52	гораздо более	4	1
