N	3gram	Propp_Isto_3	Problemy
1	на самом деле	1	10
2	с самого начала	1	8
3	не может быть	1	6
4	по отношению к	2	5
5	во всяком случае	2	5
6	с точки зрения	1	4
7	и прежде всего	1	4
8	мы уже говорили	1	3
9	с другой стороны	7	3
10	смысле этого слова	1	2
11	время от времени	1	2
12	подобно тому как	1	2
13	в этом случае	5	2
14	вместе с тем	1	2
15	что в нем	1	2
16	остановимся только на	1	2
17	в такой же	1	2
18	о том что	2	2
19	с ними а	1	2
20	тем не менее	5	2
21	друг с другом	1	2
22	на всю жизнь	1	2
23	в большинстве случаев	1	2
24	к тому же	2	2
25	и т д	15	2
26	как мы видели	5	2
27	должны были бы	1	1
28	в нем происходит	1	1
29	огромном большинстве случаев	1	1
30	мы остановимся только	1	1
31	что он все	1	1
32	хотя и не	1	1
33	и от него	1	1
34	в чем же	1	1
35	мы должны были	1	1
36	они думают что	1	1
37	до сих пор	5	1
38	и в других	2	1
39	на самом же	1	1
40	а так как	1	1
41	уже не в	1	1
42	никак не мог	1	1
43	это вовсе не	1	1
44	как если бы	1	1
45	здесь еще не	1	1
46	и то что	2	1
47	есть своего рода	1	1
48	правда в несколько	1	1
49	и столь же	1	1
50	в данном случае	3	1
51	но там где	1	1
52	до того что	1	1
53	может быть и	1	1
54	один из моментов	1	1
55	в огромном большинстве	1	1
56	видели что в	1	1
57	мы сейчас увидим	1	1
58	и действительно как	1	1
59	но и не	1	1
60	каждого из них	1	1
61	и в том	1	1
62	мы видели что	3	1
63	следующий за ним	1	1
64	и было бы	1	1
65	но тем не	2	1
66	перед тем как	1	1
67	и вместе с	1	1
68	как и в	2	1
69	в свою очередь	1	1
70	не только не	2	1
71	как мы сейчас	1	1
72	но в этом	1	1
73	но все же	2	1
74	самом же деле	1	1
75	можно сказать что	1	1
76	на то что	1	1
77	в том что	5	1
78	что и в	2	1
