N	3gram	Tiupa_Teor_1	Literetu
1	то же время	5	9
2	в то же	5	9
3	не может быть	4	7
4	с одной стороны	2	6
5	в конечном счете	6	5
6	в том что	8	5
7	состоит в том	5	4
8	с другой стороны	5	4
9	в хх веке	1	4
10	с точки зрения	3	3
11	в данном случае	5	3
12	по отношению к	4	3
13	о том что	1	2
14	присутствия в мире	5	2
15	подобно тому как	1	2
16	в русской литературе	2	2
17	по крайней мере	1	2
18	одно и то	1	2
19	и то же	1	2
20	в равной степени	3	2
21	в его лице	1	2
22	в том числе	2	2
23	тем не менее	3	2
24	в сравнении с	1	2
25	при всей своей	1	2
26	однако и в	1	1
27	себя в другом	1	1
28	и в сущности	1	1
29	том что в	1	1
30	в сочетании с	2	1
31	отдельные слова не	1	1
32	быть это точка	1	1
33	это точка безумия	1	1
34	мы имеем дело	2	1
35	а не с	1	1
36	лишь для того	1	1
37	в русской поэзии	2	1
38	пребывания в мире	1	1
39	в соответствии с	2	1
40	то же самое	1	1
41	искусство в том	1	1
42	объект эстетического отношения	1	1
43	на первом слоге	1	1
44	я в мире	7	1
45	в отличие от	6	1
46	роли ценностного центра	1	1
47	является одним из	1	1
48	бы то ни	1	1
49	только то что	1	1
50	не менее чем	1	1
51	не могут быть	2	1
52	из того что	1	1
53	состоит не в	1	1
54	том числе и	1	1
55	именно в нем	1	1
56	ни к какой	1	1
57	я из картины	1	1
58	и без остатка	1	1
59	однако в рамках	1	1
60	ни одно слово	1	1
61	в основе своей	1	1
62	принципиальное различие между	1	1
63	в другом стихотворении	1	1
64	я на фоне	1	1
65	и в то	1	1
66	в самом начале	2	1
67	по всеохватывающей своей	1	1
68	в своего рода	1	1
69	в данный момент	2	1
70	по сути своей	1	1
71	о жизни по	1	1
72	эстетическая ситуация художественного	1	1
73	в роли ценностного	1	1
74	для искусства в	1	1
75	слова не разложимое	1	1
76	не более чем	1	1
77	и в пределах	1	1
78	своей широте на	1	1
79	имеем дело с	1	1
80	в нашем случае	2	1
81	жизни по всеохватывающей	1	1
82	если в качестве	1	1
83	приводит к тому	2	1
84	блудный сын и	1	1
85	внутренней и внешней	2	1
86	какое-то утверждение о	1	1
87	исходит из того	1	1
88	читателя зрителя слушателя	1	1
89	в целом ряде	1	1
90	все то что	1	1
91	рассказ о счастье	1	1
92	всеохватывающей своей широте	1	1
93	а в том	1	1
94	могут служить также	1	1
95	числе и трагическое	1	1
96	оказывается всего лишь	1	1
97	может быть это	1	1
98	имея в виду	1	1
99	в свою очередь	2	1
100	есть рассказ о	1	1
101	никогда не бывает	1	1
102	жизни а не	1	1
103	не только не	2	1
104	о мире и	1	1
105	той или иной	1	1
106	в этой системе	2	1
107	то ни было	1	1
108	о счастье существования	1	1
109	а с другой	2	1
110	к тому что	2	1
111	тех или иных	3	1
112	гумилева блудный сын	1	1
113	слова так и	1	1
114	для того чтобы	1	1
115	художественного мышления и	1	1
116	трагическое есть рассказ	1	1
117	утверждение о жизни	1	1
118	на отдельные слова	1	1
119	мастер и маргарита	1	1
120	на поле куликовом	1	1
121	и трагическое есть	1	1
122	широте на отдельные	1	1
