N	2gram	Voloshinov_1	PoTuStor
1	может быть	1	17
2	и в	3	16
3	точки зрения	1	8
4	не может	4	8
5	не только	1	7
6	с точки	1	6
7	для него	1	6
8	и на	1	4
9	в его	1	4
10	но и	1	4
11	и не	1	4
12	и все	1	4
13	тех же	1	3
14	с другими	1	3
15	из этих	1	2
16	нет и	1	2
17	то же	1	2
18	не менее	1	2
19	один из	2	2
20	мы видим	1	2
21	можно назвать	1	2
22	конечно и	1	1
23	в ней	1	1
24	в центре	2	1
25	ни один	1	1
26	и социальной	1	1
27	себе все	1	1
28	несмотря на	1	1
29	смысл и	1	1
30	лучше всего	1	1
31	вещей и	1	1
32	с теми	1	1
33	и форму	1	1
34	связи с	1	1
35	к тому	1	1
36	если бы	1	1
37	и можно	1	1
38	а не	1	1
39	влияния на	1	1
40	понятно не	1	1
41	к школе	1	1
