N	3gram	Berdyaev_V_1	Myshleni
1	в том что	2	15
2	с другой стороны	1	9
3	вместе с тем	1	5
4	по сравнению с	1	5
5	к тому что	3	3
6	есть прежде всего	1	2
7	том что он	2	2
8	в известном смысле	1	2
9	вместо того чтобы	2	2
10	другой стороны в	1	1
11	мы указывали уже	1	1
12	в самом элементарном	1	1
13	но и в	2	1
14	с тем чтобы	1	1
15	которые не могли	1	1
16	по крайней мере	1	1
17	бы и не	2	1
18	в конце концов	1	1
19	потому что оно	1	1
20	и в этом	1	1
21	ни для чего	1	1
22	по этому пути	2	1
23	в этих словах	1	1
24	не в силах	2	1
25	на этом пути	1	1
26	то что я	2	1
27	то что мы	3	1
28	не имеет никакой	1	1
29	и вместе с	1	1
30	и никогда не	1	1
31	но все же	1	1
32	могли бы вынести	1	1
33	и т д	2	1
34	как и в	1	1
35	в жизни и	1	1
