N	2gram	Nazirov_Tr_1	Problemy
1	из подполья	1	35
2	и в	18	35
3	как бы	7	31
4	и не	7	27
5	что он	6	24
6	в его	3	21
7	но в	6	19
8	как и	5	18
9	к себе	1	18
10	не может	5	18
11	о себе	1	17
12	в нем	4	16
13	то есть	3	16
14	то же	5	15
15	и все	4	15
16	в этом	9	14
17	и его	6	14
18	для него	3	14
19	может быть	7	14
20	но и	4	14
21	все это	4	14
22	он не	2	13
23	что я	4	13
24	к нему	3	13
25	с другим	1	13
26	и с	7	12
27	в другом	1	12
28	у достоевского	5	12
29	прежде всего	4	12
30	по замыслу	2	11
31	в то	5	11
32	самом деле	1	10
33	в двойнике	1	10
34	не только	8	10
35	не в	2	10
36	же время	6	10
37	героя и	1	10
38	то что	4	10
39	а я	5	10
40	я не	4	8
41	все же	5	8
42	самого начала	1	8
43	как мы	1	8
44	с самого	1	8
45	так и	5	8
46	потому что	2	8
47	еще не	4	7
48	на них	1	7
49	с его	2	7
50	и наконец	1	7
51	лишь в	1	7
52	замыслу достоевского	2	7
53	таким образом	1	7
54	настасьи филипповны	1	7
55	и сам	3	7
56	в виде	2	7
57	так же	4	7
58	с ним	3	7
59	и на	7	6
60	он сам	7	6
61	но не	1	6
62	отношение к	2	6
63	в самом	2	6
64	к тому	2	6
65	он с	1	6
66	в одном	2	6
67	и что	4	6
68	только в	1	6
69	слова в	1	6
70	на меня	2	6
71	но это	4	6
72	от него	1	6
73	что в	4	6
74	и то	2	5
75	как в	3	5
76	в себе	4	5
77	я вам	1	5
78	я все	2	5
79	он и	2	5
80	знает и	1	5
81	настасья филипповна	2	5
82	в конце	3	5
83	его с	1	5
84	и это	2	5
85	в глаза	2	5
86	в исповеди	1	5
87	в том	2	5
88	с ними	1	5
89	так что	2	5
90	и даже	4	5
91	когда я	1	5
92	в романах	1	5
93	этого слова	1	5
94	ивана карамазова	2	4
95	в мире	3	4
96	он в	1	4
97	в чем	1	4
98	романах достоевского	2	4
99	сливается с	1	4
100	что это	5	4
101	и вот	1	4
102	последнее слово	1	4
103	но все	2	4
