N	2gram	Losev_Vlad_3	VelikijI
1	и не	25	20
2	и в	40	16
3	так как	7	9
4	то что	28	9
5	еще не	4	8
6	к богу	2	8
7	в истории	5	8
8	что они	1	7
9	на земле	1	7
10	а не	8	7
11	и потому	10	7
12	человека и	3	6
13	не есть	10	6
14	на себя	2	5
15	но и	18	5
16	того что	7	5
17	хотя и	7	5
18	религиозного сознания	1	5
19	в мире	2	5
20	в боге	6	5
21	бога и	1	5
22	все это	1	5
23	что есть	3	5
24	как бы	3	5
25	и есть	1	4
26	добра и	1	4
27	в его	14	4
28	в этом	16	4
29	что он	5	4
30	потому что	11	4
31	в нем	3	4
32	так и	6	4
33	что все	7	4
34	как и	7	4
35	что мы	2	4
36	смысла жизни	1	4
37	в котором	4	4
38	в ней	5	4
39	и все	4	4
40	это еще	1	4
41	все что	1	4
42	в абсолютном	3	3
43	от этого	2	3
44	и что	8	3
45	должна быть	2	3
46	хотя бы	6	3
47	то это	10	3
48	как не	2	3
49	лишь в	1	3
50	в чем	3	3
51	с его	2	3
52	во всех	1	3
53	что и	7	3
54	и будет	1	3
55	в том	18	3
56	но в	4	3
57	в вопросе	2	3
58	бы и	4	3
59	по этому	3	3
60	все эти	5	3
61	за ним	1	3
62	в конце	12	3
63	их в	1	3
64	в своей	9	3
65	и мы	1	3
66	в жизни	2	3
67	ни в	10	3
68	в них	1	3
69	не было	5	3
70	во христе	1	3
71	должно быть	5	3
72	если не	6	3
73	всемирной истории	1	3
74	в этих	2	3
75	нет ничего	2	3
76	и против	3	3
77	не в	3	3
78	к чему	1	3
79	тому что	4	3
80	этих трех	3	3
81	но это	6	3
82	к бытию	1	3
83	не имеет	4	3
84	никогда не	11	3
85	и для	3	3
86	к тому	7	3
87	жизни и	1	3
88	что в	17	3
89	оно не	3	3
90	а между	1	2
91	и это	6	2
92	об абсолютном	2	2
93	того чтобы	3	2
94	и то	9	2
95	не имел	2	2
96	но мы	2	2
97	это мы	1	2
98	и сам	1	2
99	можно было	5	2
100	и за	2	2
101	его не	1	2
102	мы не	2	2
103	когда в	1	2
104	в последнем	1	2
105	мы взяли	1	2
106	под этим	1	2
107	в личности	1	2
108	освобождения от	1	2
109	и во	1	2
110	я думаю	1	2
111	нет и	1	2
112	вслед за	1	2
113	от этих	1	2
114	которые не	2	2
115	не с	4	2
116	духа и	1	2
117	только в	13	2
118	в человека	1	2
119	и последний	1	2
120	в себя	1	2
121	и любви	1	2
122	конечно не	1	2
123	уже не	9	2
124	не только	25	2
125	на этих	1	2
126	раз навсегда	3	2
127	не так	3	2
128	для него	8	2
129	земли и	1	2
130	не хотел	1	2
131	не к	2	2
132	и никогда	1	2
133	тем что	5	2
134	не будет	6	2
135	это не	3	2
136	истории и	1	2
137	а с	4	2
138	прежде всего	10	2
139	для них	1	2
140	все равно	1	2
141	с тем	7	2
142	мы и	2	2
143	один из	1	2
144	вопросе о	3	2
145	выше всякого	2	2
146	для человека	1	2
147	с абсолютным	1	2
148	я говорю	1	2
149	что истина	2	2
150	не могут	2	2
151	является в	2	2
152	мир и	1	2
153	а есть	2	2
154	самого себя	2	2
155	выше всего	2	2
156	да и	6	2
157	это дело	1	2
158	от высшего	1	2
159	о свободе	2	2
160	человечество не	1	2
161	одна из	1	2
162	что их	1	2
163	уже на	1	2
164	том что	18	2
165	тот кто	1	2
166	а к	1	2
167	для нас	5	2
168	и теперь	1	2
169	ее в	3	2
170	есть уже	1	2
171	до того	1	2
172	это все	1	2
173	не создает	1	2
174	а в	7	2
175	но не	4	2
176	в духе	3	2
177	всего в	1	2
178	во всяком	3	2
179	речь идет	1	1
180	мирового всеединства	1	1
181	жизни об	1	1
182	как мы	8	1
183	бы сделать	2	1
184	в виду	3	1
185	для себя	5	1
186	в ее	1	1
187	ни стало	2	1
188	и позитивизм	1	1
189	роль в	2	1
190	он всегда	2	1
191	не имеют	2	1
192	человеческой воли	1	1
193	мы будем	2	1
194	если они	2	1
195	то же	4	1
196	наконец это	1	1
197	и которые	1	1
198	он выразил	1	1
199	бытие не	1	1
200	в результате	4	1
201	и тут	3	1
202	с достоинством	1	1
203	да будет	1	1
204	всего только	1	1
205	вопрос о	4	1
206	и вообще	3	1
207	и переживаний	1	1
208	который был	2	1
209	только это	1	1
210	находится в	3	1
211	никогда и	2	1
212	я не	3	1
213	ли так	1	1
214	не был	8	1
215	в их	2	1
216	и на	6	1
217	он был	2	1
218	в последних	1	1
219	бы то	3	1
220	истории в	2	1
221	вечной жизни	1	1
222	своей абсолютной	1	1
223	конечно это	1	1
224	все в	1	1
225	к нему	3	1
226	что люди	1	1
227	но как	2	1
228	идет к	1	1
229	важный для	1	1
230	для христианства	1	1
231	человек был	1	1
232	могут и	1	1
233	если в	1	1
234	сила а	1	1
235	в новом	1	1
236	а потому	1	1
237	что человек	1	1
238	себе и	2	1
239	бы в	2	1
240	не просто	10	1
241	хотел бы	1	1
242	и можно	4	1
243	и чем	1	1
244	и свободное	1	1
245	что бы	3	1
246	во что	2	1
247	это самое	1	1
248	его на	1	1
249	как в	1	1
250	что человечество	1	1
251	в своем	8	1
252	известном смысле	1	1
253	виде целого	1	1
254	все же	4	1
255	но с	2	1
256	что очень	1	1
257	и думать	1	1
258	мы видим	1	1
259	и свою	1	1
260	и так	2	1
261	это очень	1	1
262	в самом	4	1
263	у них	1	1
264	в которой	2	1
265	что это	9	1
266	в целом	2	1
267	их не	1	1
268	духа святого	2	1
269	человеческой души	1	1
270	конце истории	1	1
271	тоже не	5	1
272	этот третий	1	1
273	влечение к	1	1
274	в этой	8	1
275	в известном	1	1
276	чего хочет	1	1
277	же и	2	1
278	им в	1	1
279	он делает	1	1
280	есть зло	1	1
281	вот в	2	1
282	своей целью	1	1
283	человеческую личность	1	1
284	уже в	3	1
285	то и	2	1
286	чтобы идти	1	1
287	тем чтобы	1	1
288	в виде	13	1
289	и если	7	1
290	бог не	1	1
291	должно иметь	1	1
292	о которой	1	1
293	говорит что	1	1
294	его достоинство	1	1
295	перестает быть	1	1
296	в я	3	1
297	одно целое	1	1
298	не будут	1	1
299	и навсегда	1	1
300	и вот	1	1
301	вовсе не	13	1
302	не для	1	1
303	но что	2	1
304	бытия и	2	1
305	у него	24	1
306	содержательное и	1	1
307	и по	2	1
308	в руки	1	1
309	и вместе	2	1
310	бы это	2	1
311	для того	2	1
312	то ни	3	1
313	в состоянии	1	1
314	конечно в	1	1
315	и с	9	1
316	не надо	1	1
317	свободного и	1	1
318	с другой	5	1
319	истина и	3	1
320	есть не	2	1
321	в глазах	1	1
322	бог но	1	1
323	еще и	18	1
324	если бог	1	1
325	и тем	3	1
326	души и	1	1
327	были в	2	1
328	говорит о	4	1
329	от абсолютного	1	1
330	к человеку	1	1
331	это бытие	1	1
332	церкви и	3	1
333	был в	1	1
334	на которых	1	1
335	человеческой жизни	1	1
336	не всегда	1	1
337	с которым	1	1
338	его по	1	1
339	было для	1	1
340	жизни но	1	1
341	о чем	1	1
342	выше всех	2	1
343	есть истина	1	1
