N	3gram	Tiupa_Disk_1	Problemy
1	то же время	4	10
2	в то же	3	10
3	на самом деле	1	9
4	с самого начала	1	8
5	по отношению к	9	6
6	во всяком случае	1	4
7	и прежде всего	1	4
8	той или иной	3	4
9	в этом смысле	1	3
10	он не может	1	3
11	одно и то	1	3
12	и то же	1	3
13	с другой стороны	3	3
14	не может быть	3	3
15	к тому же	4	3
16	то все же	1	2
17	как раз и	1	2
18	с точки зрения	1	2
19	и не может	1	2
20	как и все	1	2
21	и в то	1	2
22	сам по себе	1	2
23	в отличие от	4	2
24	оно стремится к	1	2
25	с другим на	1	2
26	так и в	1	2
27	подобно тому как	2	2
28	но все же	1	2
29	в большинстве случаев	1	2
30	в том что	13	2
31	точки зрения на	1	1
32	в которой он	1	1
33	прежде всего как	1	1
34	потому что в	1	1
35	быть и он	1	1
36	дело в том	1	1
37	и в особенности	2	1
38	громадное значение в	1	1
39	в том и	1	1
40	том что он	1	1
41	может и не	1	1
42	в этом случае	1	1
43	что же касается	2	1
44	до сих пор	1	1
45	что он ничего	1	1
46	вместе с тем	1	1
47	что он не	1	1
48	в строгом смысле	1	1
49	и т.п но	3	1
50	том или ином	1	1
51	по крайней мере	2	1
52	из уст в	1	1
53	о том как	1	1
54	в значительной степени	2	1
55	в том или	1	1
56	в данном случае	2	1
57	тем что он	1	1
58	и на протяжении	1	1
59	которое как и	1	1
60	как будто бы	1	1
61	и как бы	3	1
62	каждый из них	1	1
63	в большей или	1	1
64	между двумя пределами	1	1
65	или меньшей степени	1	1
66	имеет громадное значение	1	1
67	в этом направлении	1	1
68	прежде всего в	1	1
69	к той же	1	1
70	том и в	1	1
71	и в том	1	1
72	уст в уста	1	1
73	в свое время	1	1
74	и в позднейшем	1	1
75	в нем нет	1	1
76	как и в	1	1
77	большей или меньшей	2	1
78	то есть все	1	1
79	в свою очередь	3	1
80	и того же	2	1
81	о том что	5	1
82	говорит не о	1	1
83	для правильного понимания	1	1
84	можно сказать что	2	1
85	или во всяком	1	1
86	что каждый из	1	1
87	которая может быть	1	1
88	одного и того	2	1
89	тем не менее	1	1
90	как мы видели	1	1
91	пока еще в	1	1
92	то что они	1	1
93	неизменным на протяжении	1	1
94	лицом к лицу	1	1
95	а не в	2	1
96	то же самое	2	1
97	в этом отношении	1	1
98	и в другом	1	1
