N	2gram	Losev_Vlad_3	KulturaY
1	в том	18	30
2	и в	40	24
3	потому что	11	23
4	том что	18	21
5	что в	17	17
6	того чтобы	3	17
7	для того	2	16
8	было бы	4	15
9	в этом	16	14
10	точки зрения	13	14
11	может быть	8	13
12	все же	4	12
13	таким образом	11	12
14	и не	25	12
15	в его	14	12
16	не в	3	11
17	только в	13	11
18	хотя бы	6	10
19	в самом	4	10
20	не только	25	10
21	в силу	2	10
22	у нас	5	10
23	вовсе не	13	10
24	самом деле	1	9
25	с точки	6	9
26	так как	7	9
27	если бы	3	9
28	о том	11	9
29	того что	7	9
30	прежде всего	10	9
31	то что	28	9
32	а только	7	8
33	уже не	9	8
34	то же	4	8
35	тем что	5	8
36	как раз	10	8
37	а не	8	8
38	не может	14	7
39	не трудно	1	7
40	это не	3	7
41	в них	1	7
42	не менее	9	7
43	связи с	2	7
44	так и	6	7
45	бы в	2	7
46	в качестве	3	7
47	с другой	5	7
48	как бы	3	7
49	вместе с	7	7
50	только потому	1	6
51	мы имеем	3	6
52	на себе	1	6
53	в ней	5	6
54	в которой	2	6
55	все эти	5	6
56	при этом	3	6
57	в которых	1	6
58	можно было	5	6
59	что он	5	6
60	в какой	2	6
61	но и	18	6
62	именно в	3	6
63	что же	9	6
64	все это	1	6
65	другой стороны	2	6
66	например в	1	5
67	еще не	4	5
68	xix века	6	5
69	но не	4	5
70	не просто	10	5
71	и вовсе	3	5
72	что это	9	5
73	и с	9	5
74	но уже	2	5
75	рядом с	1	5
76	с тем	7	5
77	так сказать	1	5
78	и его	10	5
79	к тому	7	5
80	в виду	3	5
81	и что	8	5
82	а потому	1	5
83	еще и	18	5
84	всяком случае	3	5
85	в результате	4	5
86	этом отношении	2	5
87	а в	7	5
88	во всяком	3	5
89	того же	2	4
90	это и	1	4
91	и на	6	4
92	с его	2	4
93	что они	1	4
94	как в	1	4
95	в целом	2	4
96	из этих	3	4
97	учение о	24	4
98	роль в	2	4
99	на то	4	4
100	в нем	3	4
101	в первую	1	4
102	же касается	5	4
103	в данном	5	4
104	тем не	10	4
105	речи в	1	4
106	тем самым	2	4
107	в науке	1	4
108	русский язык	1	4
109	того как	1	4
110	и является	1	4
111	не на	2	4
112	в самой	1	4
113	внимание на	1	4
114	что и	7	4
115	так что	14	4
116	не есть	10	4
117	из них	2	4
118	со стороны	2	4
119	до сих	1	4
120	в частности	1	4
121	и потому	10	4
122	с этим	2	4
123	в тех	1	4
124	по существу	4	4
125	слова и	1	4
126	сих пор	1	4
127	один из	1	4
128	указать на	4	4
129	же в	3	4
130	в этих	2	4
131	так же	8	4
132	и то	9	3
133	науки о	1	3
134	в котором	4	3
135	в сущности	2	3
136	на себя	2	3
137	то это	10	3
138	и он	1	3
139	с большим	3	3
140	то мы	1	3
141	в общем	1	3
142	очевидно что	1	3
143	в истории	5	3
144	в связи	3	3
145	в своем	8	3
146	хотя и	7	3
147	когда он	1	3
148	более или	5	3
149	что слово	1	3
150	в этой	8	3
151	с их	3	3
152	в себе	9	3
153	и если	7	3
154	не имеют	2	3
155	должна быть	2	3
156	что она	2	3
157	а это	1	3
158	несмотря на	7	3
159	должно быть	5	3
160	нисколько не	3	3
161	или менее	5	3
162	в их	2	3
163	представление о	1	3
164	даже в	4	3
165	тому что	4	3
166	только и	5	3
167	это слово	1	3
168	в духе	3	3
169	оно не	3	3
170	здесь не	3	3
171	сводится к	3	3
172	не с	4	3
173	ясно что	1	3
174	том как	1	3
175	в известных	1	3
176	и здесь	6	3
177	можно сказать	1	3
178	нуждается в	1	3
179	этом смысле	3	3
180	уже в	3	3
181	себе в	2	3
182	в одном	5	3
183	даже и	12	3
184	не было	5	3
185	и даже	6	3
186	или иной	1	3
187	к которому	1	3
188	в свою	1	3
189	а с	4	3
190	если не	6	3
191	как это	4	3
192	а если	2	3
193	этого слова	1	3
194	нам не	1	3
195	в системе	1	3
196	как на	3	3
197	но еще	2	3
198	в таком	3	3
199	они не	1	3
200	гораздо более	1	3
201	можно говорить	1	2
202	речь идет	1	2
203	также и	17	2
204	и есть	1	2
205	по преимуществу	2	2
206	все те	1	2
207	что если	4	2
208	бы и	4	2
209	как то	1	2
210	я не	3	2
211	которое в	3	2
212	иное как	1	2
213	что его	2	2
214	иных случаях	1	2
215	на самом	3	2
216	не все	3	2
217	если в	1	2
218	себе и	2	2
219	относится к	1	2
220	что касается	2	2
221	и как	7	2
222	какой смысл	1	2
223	но в	4	2
224	от этого	2	2
225	так или	2	2
226	больше всего	1	2
227	он не	8	2
228	как с	2	2
229	данном отношении	1	2
230	но все	3	2
231	в состоянии	1	2
232	лишь в	1	2
233	заключается в	1	2
234	первую очередь	1	2
235	образом если	1	2
236	и мы	1	2
237	не находится	1	2
238	и тем	3	2
239	ни в	10	2
240	для них	1	2
241	все равно	1	2
242	как об	1	2
243	этого не	3	2
244	в сб	1	2
245	как и	7	2
246	и еще	2	2
247	нужно было	1	2
248	но если	5	2
249	и при	1	2
250	в своей	9	2
251	не столько	3	2
252	вопрос о	4	2
253	иначе как	1	2
254	и более	2	2
255	том же	1	2
