N	3gram	Bakhtin_fo_2	Analitik
1	в том что	3	7
2	с другой стороны	1	5
3	о том что	1	5
4	в свою очередь	1	4
5	как и в	1	4
6	и того же	1	3
7	в данном случае	1	3
8	то же время	4	3
9	той или иной	1	3
10	в то же	4	3
11	одного и того	1	3
12	в этом отношении	2	3
13	том что он	1	2
14	с точки зрения	8	2
15	в отличие от	1	2
16	тот или иной	1	2
17	с одной стороны	1	2
18	в этом ряду	2	2
19	и прежде всего	3	2
20	можно сказать что	1	2
21	к тому времени	1	1
22	и в сущности	1	1
23	в этом мире	6	1
24	времени не в	1	1
25	в той или	1	1
26	к себе самому	3	1
27	быть осуществлено только	1	1
28	то есть не	1	1
29	в соседстве со	1	1
30	на самом деле	1	1
31	в частности с	1	1
32	и так сказать	1	1
33	и в особенности	3	1
34	чего еще нет	1	1
35	в этом случае	2	1
36	в самый момент	1	1
37	в дальнейшем мы	2	1
38	до сих пор	2	1
39	что он не	1	1
40	между тем как	1	1
41	с самим собою	1	1
42	с тех пор	1	1
43	значении этого слова	1	1
44	со всех сторон	1	1
45	но и как	1	1
46	не только в	5	1
47	его в иной	1	1
48	и как бы	1	1
49	для него самого	1	1
50	в связи с	7	1
51	так и на	1	1
52	не для того	2	1
53	как бы в	1	1
54	для того чтобы	7	1
55	уст в уста	1	1
56	прежде всего к	1	1
57	картина мира проникнутая	1	1
58	не может быть	1	1
59	уже никогда не	1	1
60	в одном из	1	1
61	то есть в	1	1
62	как бы ни	1	1
63	в себя и	1	1
64	из уст в	1	1
65	друг от друга	2	1
66	тем более что	2	1
67	в большинстве случаев	3	1
68	все это было	1	1
69	человека и его	1	1
70	что и в	1	1
71	достигается прежде всего	1	1
