N	4gram	Trubetskoy_1	Vvedenie
1	в то же время	2	6
2	не трудно видеть что	1	4
3	в широком смысле слова	1	3
4	заключается в том что	2	2
5	одной и той же	1	2
6	дело в том что	1	2
7	состоит в том что	1	2
8	идет речь в общем	1	1
9	одно и то же	1	1
10	для того чтобы быть	2	1
11	уже о том что	1	1
12	лишь в том что	3	1
13	в том виде в	1	1
14	но с другой стороны	1	1
15	с этой точки зрения	1	1
16	и для того чтобы	1	1
17	разница лишь в том	1	1
18	в нем не осталось	1	1
19	может быть и не	1	1
20	в целом ряде других	1	1
21	говоря уже о том	1	1
22	в том же направлении	1	1
23	в том или ином	1	1
24	то же самое что	1	1
25	представление о том что	1	1
26	и в целом ряде	1	1
27	то для того чтобы	1	1
28	и в конце концов	1	1
29	не говоря уже о	1	1
30	то что входит в	1	1
31	что с течением времени	1	1
32	кто так или иначе	1	1
33	бы то ни было	2	1
34	также и то что	1	1
35	в том виде как	1	1
36	одного и того же	3	1
37	но вместе с тем	1	1
