N	3gram	Nazirov_Tr_1	EvropaiE
1	в то же	5	15
2	то же время	5	14
3	в том что	2	6
4	и в этом	1	4
5	хотя бы и	1	3
6	в применении к	1	3
7	во всяком случае	1	3
8	в известной степени	1	3
9	и в частности	2	2
10	в данном случае	2	2
11	но в то	2	2
12	по нашему мнению	1	2
13	по сравнению с	1	2
14	так и в	3	2
15	не может быть	1	2
16	в одном из	1	2
17	как и его	1	1
18	в этом мире	1	1
19	россии но и	1	1
20	в отличие от	2	1
21	не исключено что	1	1
22	это может быть	1	1
23	смысле этого слова	1	1
24	не могут быть	1	1
25	к россии но	1	1
26	что в таком	1	1
27	в связи с	1	1
28	мы отнюдь не	1	1
29	вместо того чтобы	1	1
30	отцов и детей	1	1
31	это мы видим	1	1
32	это должно быть	1	1
33	мы бы сказали	1	1
34	во всем его	1	1
35	к тому что	1	1
36	он считает что	1	1
37	и не быть	1	1
38	отметить что в	1	1
