N	3gram	Propp_Isto_6	Psycholo
1	в том что	5	17
2	для того чтобы	1	13
3	не может быть	3	8
4	совершенно ясно что	1	6
5	на то что	1	6
6	до сих пор	4	5
7	можно было бы	2	4
8	так же как	1	4
9	в данном случае	3	4
10	тем не менее	1	4
11	о том что	4	4
12	том что она	1	3
13	том что он	1	3
14	с тем что	1	3
15	точно так же	2	3
16	в то время	3	3
17	несмотря на все	1	3
18	таким образом и	2	3
19	что и в	2	3
20	том что в	2	2
21	это то что	1	2
22	и когда он	1	2
23	как только мы	1	2
24	но так как	3	2
25	так как в	1	2
26	подобно тому как	1	2
27	и не может	1	2
28	как и в	2	2
29	на этот вопрос	1	2
30	и то что	1	2
31	то время как	3	2
32	может быть дано	1	2
33	во всяком случае	2	2
34	этой точки зрения	1	2
35	и в том	1	2
36	надо сказать что	1	2
37	таким образом в	1	2
38	это значит что	1	2
39	и те же	1	2
40	с другой стороны	8	2
41	только потому что	1	2
42	и т д	8	2
43	что иное как	1	1
44	мы видим и	1	1
45	быть дано только	1	1
46	по существу и	1	1
47	то это значит	1	1
48	из его основных	1	1
49	или иное животное	1	1
50	еще не вполне	1	1
51	новые и новые	1	1
52	того или другого	1	1
53	о том как	3	1
54	в этом случае	6	1
55	же как и	1	1
56	в таком случае	1	1
57	говорит он что	1	1
58	в зависимости от	1	1
59	но и на	1	1
60	и при помощи	1	1
61	ссылается на то	1	1
62	но и в	2	1
63	что все эти	1	1
64	мы находим в	1	1
65	только то что	2	1
66	кроме того что	1	1
67	а с другой	1	1
68	с этой точки	1	1
69	то или иное	1	1
70	вместе с тем	3	1
71	по аналогии с	1	1
72	и тем не	1	1
73	не похожи на	1	1
74	одно и то	1	1
75	мы можем обнаружить	1	1
76	потому что с	1	1
77	потому что он	2	1
78	от того что	1	1
79	здесь мы имеем	4	1
80	в противоречие с	1	1
81	с одной стороны	7	1
82	ту же роль	1	1
83	при этом он	1	1
84	и то же	1	1
85	но при этом	1	1
86	мы можем предположить	1	1
87	все больше и	2	1
88	т д мы	1	1
89	он ссылается на	1	1
90	и сейчас же	1	1
91	все же не	1	1
92	на то место	1	1
93	но в основе	1	1
94	тем что в	1	1
95	есть вместе с	1	1
96	в свое время	1	1
97	заметить что именно	1	1
98	друг с другом	1	1
99	же роль что	1	1
100	в достаточной степени	1	1
101	более или менее	1	1
102	есть не что	1	1
103	том смысле что	1	1
104	мы имеем в	4	1
105	и тем самым	1	1
106	к выводу что	1	1
107	можно сказать что	1	1
108	с другом и	1	1
109	то или другое	1	1
110	за тридевять земель	3	1
111	после того как	2	1
112	больше и больше	2	1
113	не потому что	1	1
114	в том смысле	1	1
115	не значит что	1	1
116	не что иное	1	1
117	так как он	2	1
118	но еще не	1	1
