N	2gram	Savitsky_E_1	ViktorSh
1	в том	11	2
2	и в	37	2
3	том что	6	2
4	дело в	3	1
5	же все	1	1
6	как же	2	1
7	только в	9	1
8	и не	14	1
9	то же	15	1
10	жизни которое	1	1
11	сказать чтобы	1	1
12	так как	7	1
13	и его	1	1
14	в которых	3	1
15	для них	2	1
16	в этом	12	1
17	главным образом	2	1
18	говорили в	1	1
19	столь же	5	1
20	с большой	2	1
21	сводится к	1	1
22	том же	1	1
23	в их	11	1
24	именно в	4	1
25	и только	3	1
26	и то	2	1
27	в частности	5	1
28	потому что	3	1
29	далеко не	2	1
30	хотя бы	15	1
31	чем больше	2	1
32	в значительной	2	1
33	в самом	4	1
34	время в	3	1
35	имеется в	1	1
36	образом из	1	1
37	от других	1	1
38	отказались от	1	1
39	даже не	1	1
40	гораздо более	1	1
41	этому и	1	1
42	но это	1	1
43	более чем	2	1
44	которые они	2	1
45	техники и	4	1
46	более к	2	1
47	к созданию	1	1
48	значительной степени	1	1
49	по своим	3	1
50	тем более	4	1
