N	3gram	Tiupa_Hudo_1	Mirosoze
1	не может быть	3	8
2	для того чтобы	2	4
3	это и есть	1	3
4	так же как	1	3
5	к тому что	2	3
6	не что иное	1	3
7	что иное как	1	3
8	есть не что	1	3
9	о том что	1	2
10	подобно тому как	1	2
11	добро и зло	1	2
12	в каждом человеке	1	2
13	как и в	1	2
14	с самим собою	1	2
15	может быть и	2	2
16	по отношению к	9	2
17	в том что	7	2
18	никогда не бывает	1	2
19	может быть назван	1	2
20	в отношении к	1	2
21	который может быть	1	1
22	по своей природе	2	1
23	лишь для того	1	1
24	а также в	1	1
25	это ведет к	1	1
26	может быть названо	2	1
27	не знает личности	1	1
28	именно потому что	1	1
29	для себя и	1	1
30	так и не	4	1
31	как бы не	1	1
32	преступлении и наказании	1	1
33	у нее нет	1	1
34	он обращен к	1	1
35	не сама по	1	1
36	мере в какой	1	1
37	по ту сторону	1	1
38	что он не	1	1
39	в этом мире	2	1
40	сама по себе	2	1
41	ивана карамазова в	1	1
42	и в этой	1	1
43	сойти с ума	1	1
44	но он не	2	1
45	в значительной степени	1	1
46	той мере в	1	1
47	но в действительности	1	1
48	той или иной	4	1
49	знает личности как	1	1
50	ибо и в	1	1
51	в этом втором	1	1
52	мы видим в	1	1
53	на наших глазах	2	1
54	та или иная	1	1
55	том что он	1	1
56	с ним как	1	1
57	с самим собой	1	1
58	в преступлении и	1	1
59	если бы для	1	1
60	в той мере	1	1
61	с точки зрения	3	1
62	во втором случае	1	1
