N	3gram	Tiupa_Anal_2	Russkaja
1	друг с другом	1	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	2	9
5	в том что	6	7
6	а между тем	1	5
7	более или менее	1	4
8	на то что	2	4
9	не может быть	1	4
10	в этом случае	4	3
11	можно было бы	2	3
12	и то что	2	3
13	в данном случае	5	3
14	той или иной	3	3
15	точно так же	1	2
16	с самим собой	1	2
17	все что может	1	2
18	в противоречие с	1	2
19	того или иного	3	2
20	о том что	6	2
21	и тем самым	2	2
22	ни одна из	1	2
23	к тому что	1	2
24	сама по себе	1	2
25	его можно было	1	1
26	состоит в том	4	1
27	прежде всего в	1	1
28	в свою очередь	1	1
29	между прочим и	1	1
30	как бы не	1	1
31	по отношению к	4	1
32	в самом деле	1	1
33	то же самое	1	1
34	таит в себе	1	1
35	до известной степени	1	1
36	только то что	1	1
37	в этом отношении	3	1
38	ко всему этому	1	1
39	на этот вопрос	1	1
40	в противном случае	1	1
41	с другом в	1	1
42	несмотря на то	1	1
43	по крайней мере	3	1
44	то и другое	1	1
45	отнюдь не является	1	1
46	в значительной степени	2	1
47	в применении к	1	1
48	то все они	1	1
49	жизни но и	1	1
50	в борьбе с	2	1
51	и в этом	4	1
52	во всех этих	1	1
53	не только для	1	1
54	в связи с	1	1
55	в полной мере	1	1
56	и к ее	1	1
57	между нами и	1	1
58	а в том	1	1
59	заключается в том	1	1
60	тех или иных	2	1
61	у него на	4	1
62	но и для	1	1
63	первый и второй	1	1
64	речь идет о	1	1
65	тем не менее	3	1
66	очевидно что такой	1	1
67	всех этих случаях	1	1
68	к тому же	4	1
