N	2gram	Medvedev_S_1	Marksizm
1	может быть	2	28
2	и в	3	19
3	как бы	2	19
4	и не	1	19
5	в процессе	1	18
6	не может	1	18
7	то же	2	16
8	и его	1	16
9	в этом	5	15
10	в сущности	1	14
11	таким образом	2	14
12	не только	3	13
13	связи с	1	13
14	вовсе не	1	11
15	не в	3	10
16	так и	1	10
17	но и	2	10
18	том что	2	10
19	как и	1	9
20	по отношению	2	8
21	в то	1	8
22	же время	1	8
23	только в	2	8
24	отнюдь не	1	8
25	отношению к	2	8
26	его в	1	7
27	и более	1	7
28	никогда не	1	7
29	в том	5	7
30	прежде всего	1	7
31	в связи	1	7
32	и как	1	6
33	в смысле	2	6
34	же самое	1	6
35	между тем	1	6
36	с помощью	1	6
37	хотя бы	1	6
38	все же	1	5
39	в данном	1	5
40	в его	3	5
41	тем более	2	5
42	тем же	1	4
43	должна быть	2	4
44	конечно не	1	4
45	это не	1	4
46	было бы	2	4
47	тому что	1	4
48	ничего не	1	4
49	что он	1	4
50	бы в	1	4
51	то что	2	4
52	в котором	1	3
53	еще не	2	3
54	столь же	1	3
55	за пределы	2	3
56	перед нами	1	3
57	все эти	1	3
58	в этой	1	3
59	но ведь	3	3
60	по себе	1	3
61	в этих	1	3
62	в своей	1	3
63	бы он	1	3
64	о том	1	3
65	нашей работы	1	3
66	с одной	1	3
67	с другой	1	3
68	не было	1	3
69	методы и	1	3
70	одной стороны	1	3
71	а в	1	3
72	во всяком	1	3
73	науки о	1	2
74	но как	1	2
75	в противном	1	2
76	вступает в	1	2
77	что это	1	2
78	на все	1	2
79	далеко не	2	2
80	и потому	1	2
81	мы не	1	2
82	место в	1	2
83	по крайней	1	2
84	социологического метода	3	2
85	темы и	1	2
86	и о	1	2
87	все то	1	2
88	крайней мере	1	2
89	всяком случае	1	2
90	но не	1	2
91	это же	1	2
92	в виде	1	2
93	ведь это	2	2
94	у него	1	2
95	тем что	1	2
96	именно в	1	2
97	а с	1	2
98	противном случае	1	2
99	они не	1	2
100	между ними	1	2
101	что в	2	2
102	что эти	1	1
103	нашей науки	2	1
104	на тех	1	1
105	между собой	1	1
106	время в	1	1
107	ними в	1	1
108	только тогда	1	1
109	друг от	1	1
110	дает нам	1	1
111	и наконец	1	1
112	чуть ли	1	1
113	что она	1	1
114	главным образом	2	1
115	но именно	1	1
116	в силу	1	1
117	осложняется еще	1	1
118	систему его	1	1
119	бы они	1	1
120	в каждом	1	1
121	ни были	1	1
122	же не	1	1
123	с каким-либо	1	1
124	в них	1	1
125	все это	7	1
126	остается в	1	1
127	какие же	1	1
128	именно и	1	1
129	только для	1	1
130	собой не	1	1
131	далеки от	1	1
132	конечном счете	1	1
133	может развиваться	1	1
134	для изучения	1	1
135	тем именно	1	1
136	существуют два	1	1
137	и какие	1	1
138	мысли в	1	1
139	но она	1	1
140	но только	1	1
141	марксистской литературе	1	1
142	опорой для	1	1
143	ровно ничего	1	1
144	конечно только	1	1
145	представляется нам	1	1
146	когда мы	1	1
147	что все	1	1
148	ли не	1	1
149	применения социологического	1	1
150	от друга	1	1
151	они ни	1	1
152	данный человек	1	1
153	с ним	1	1
154	образом в	1	1
155	это зависит	2	1
156	и что	2	1
157	должно было	1	1
158	мы понимаем	1	1
159	в конечном	1	1
160	в марксистской	1	1
161	эти два	1	1
162	и только	3	1
163	в него	1	1
164	именно на	1	1
165	или не	1	1
166	означает только	1	1
167	не из	1	1
168	не дает	1	1
169	или даже	2	1
170	социологический метод	4	1
171	и им	1	1
172	к которому	2	1
173	как же	3	1
174	еще и	1	1
175	и затем	1	1
176	подвести итоги	1	1
177	на основании	1	1
178	исторического характера	1	1
179	ни на	1	1
180	он говорит	1	1
181	быть не	1	1
182	в целом	1	1
183	ее социологической	1	1
184	слова но	1	1
185	и школа	1	1
186	или нет	1	1
187	мы должны	1	1
188	это и	2	1
189	в заключение	1	1
190	только научная	1	1
