N	3gram	Losev_Prob_4	VelikijI
1	о великом инквизиторе	1	4
2	за то что	1	3
3	к тому что	1	3
4	том что он	1	2
5	познания добра и	1	2
6	бы и не	1	2
7	в существе своем	1	2
8	легенда о великом	1	2
9	добра и зла	1	2
10	в том что	8	2
11	и т д	3	2
12	тысячи лет назад	1	1
13	но все же	1	1
14	и во всяком	3	1
15	и в сознании	1	1
16	т д и	1	1
17	хотя бы и	2	1
18	бы то ни	1	1
19	по крайней мере	6	1
20	то и другое	3	1
21	вместе с тем	3	1
22	есть то что	1	1
23	не могли бы	1	1
24	все равно не	1	1
25	в конце концов	1	1
26	в известном смысле	1	1
27	и не было	2	1
28	с другой стороны	6	1
29	по сравнению с	1	1
30	и не любят	1	1
31	жизни и потому	1	1
32	д и т	1	1
33	так и в	1	1
34	и вместе с	1	1
35	в прошлом и	1	1
36	жизни в этом	1	1
37	но и тут	1	1
38	как и в	1	1
39	на земле то	1	1
40	в жизни и	1	1
