N	2gram	Potebnia_M_2	Mirosoze
1	и в	24	46
2	в нем	9	22
3	у него	2	22
4	может быть	23	21
5	в этом	8	20
6	не только	15	18
7	и не	19	18
8	никогда не	4	18
9	для него	10	18
10	но и	9	15
11	не может	12	15
12	человека в	3	14
13	как и	7	13
14	а не	18	13
15	не есть	6	13
16	друг друга	2	12
17	к человеку	1	12
18	прежде всего	7	12
19	потому что	49	12
20	не было	6	11
21	но он	2	11
22	в ней	3	11
23	у нас	2	11
24	но в	4	10
25	в себе	10	10
26	он не	1	10
27	не в	13	9
28	и есть	2	8
29	отношение к	1	8
30	на земле	1	8
31	так как	10	8
32	переходит в	1	8
33	человека к	1	8
34	как бы	9	8
35	но это	3	8
36	человека и	3	7
37	человеческой природы	2	7
38	как в	10	7
39	в нашем	2	7
40	человек не	1	7
41	любви к	1	7
42	хотя бы	2	7
43	и потому	2	7
44	и для	3	7
45	что он	4	7
46	вопрос о	2	6
47	что это	3	6
48	и здесь	2	6
49	так же	2	6
50	того что	7	6
51	жизни и	1	6
52	то же	12	5
53	есть не	5	5
54	друг к	1	5
55	совсем не	2	5
56	в самом	4	5
57	бы и	1	5
58	что она	3	5
59	что все	2	5
60	к другу	1	5
61	есть прежде	2	5
62	во всем	2	5
63	и его	2	5
64	к тому	1	5
65	и это	2	5
66	те же	3	5
67	это не	3	5
68	один из	2	5
69	в его	2	5
70	для того	5	5
71	то что	20	5
72	тот кто	1	5
73	и все	3	5
74	к чему	1	4
75	мысль что	1	4
76	с его	2	4
77	его на	2	4
78	на деле	3	4
79	думать что	3	4
80	в жизни	2	4
81	в царстве	1	4
82	том что	8	4
83	тому что	2	4
84	не имеет	6	4
85	того чтобы	2	4
86	должны быть	4	4
87	должен быть	1	4
88	что у	2	4
89	так и	5	4
90	уже не	4	4
91	что и	11	4
92	в свою	6	4
93	они не	4	4
94	есть уже	1	4
95	что в	16	4
96	все что	3	4
97	чтобы не	1	3
98	к другому	4	3
99	той же	3	3
100	они были	1	3
101	и самого	1	3
102	и на	8	3
103	в чем	7	3
104	что нет	2	3
105	духа и	1	3
106	он в	1	3
107	как он	4	3
108	страдания и	1	3
109	в каждом	2	3
110	не будет	1	3
111	и с	1	3
112	на все	3	3
113	его в	3	3
114	ни в	1	3
115	в них	5	3
116	для чего	1	3
117	и тогда	3	3
118	же есть	1	3
119	в такой	1	3
120	не для	1	3
121	человека есть	1	3
122	того как	7	3
123	и всегда	1	3
124	по своей	1	3
125	только с	1	3
126	себя и	2	3
127	было в	2	3
128	если бы	11	3
129	с ним	5	3
130	о том	5	3
131	и во	3	3
132	что они	5	3
133	в том	18	3
134	только в	11	3
135	есть в	2	3
136	не так	3	3
137	тем что	7	3
138	от того	5	3
139	с другим	1	3
140	до сих	4	3
141	к которому	2	3
142	в картине	1	3
143	связано с	2	3
144	для человека	1	3
145	в строении	1	3
146	не знал	1	3
147	сих пор	4	3
148	и от	3	3
149	отношении к	2	3
150	сказать что	2	3
151	есть и	1	3
152	в своих	1	3
153	и человек	3	3
154	я и	1	2
155	отношения к	2	2
156	сам по	4	2
157	не имеют	2	2
158	с таким	3	2
159	и за	1	2
160	его не	3	2
161	только это	1	2
162	но она	3	2
163	принадлежит к	1	2
164	для нашей	1	2
165	же что	3	2
166	нет то	1	2
167	не от	5	2
168	во всех	7	2
169	по отношению	2	2
170	себе и	1	2
171	она есть	2	2
172	как к	1	2
173	в мысли	5	2
174	хотя и	3	2
175	в действительности	2	2
176	от этого	1	2
177	то в	1	2
178	в которой	5	2
179	бы не	5	2
180	и тот	2	2
181	но на	2	2
182	дальше и	1	2
183	и если	4	2
184	не к	1	2
185	одной и	2	2
186	на этом	2	2
187	лишь в	1	2
188	то все	4	2
189	а за	1	2
190	не всегда	1	2
191	есть явление	3	2
192	чем в	1	2
193	должно быть	2	2
194	в этих	3	2
195	другим и	3	2
196	высоты и	1	2
197	ее в	1	2
198	место в	4	2
199	и той	2	2
200	мир и	1	2
201	но эта	1	2
202	которые в	1	2
203	сам он	1	2
204	что есть	2	2
205	а от	3	2
206	эта мысль	1	2
207	тогда когда	10	2
208	ничего не	1	2
209	к ней	2	2
210	связи с	6	2
211	к себе	1	2
212	оно не	3	2
213	они стали	1	2
214	мысль о	7	2
215	быть может	7	2
216	после того	2	2
217	по себе	15	2
218	и поэтому	2	2
219	и та	1	2
220	и что	4	2
221	потому только	1	2
222	нас в	2	2
223	к нему	1	2
224	подобно тому	4	2
225	но с	1	2
226	только можно	1	2
227	мы видим	2	2
228	тот же	5	2
229	на природу	2	2
230	бы его	1	2
231	между тем	6	2
232	так что	10	2
233	же и	1	2
234	уже в	5	2
235	и других	2	2
236	человека на	1	2
237	себе в	3	2
238	много раз	1	2
239	не о	1	2
240	были бы	1	2
241	что человек	1	2
242	всякого человека	1	2
243	души и	4	2
244	что не	5	2
245	превращается в	2	2
246	было для	2	2
247	такой степени	1	2
248	вместе с	11	2
249	человек должен	1	2
250	в человеке	4	2
251	к своему	1	2
252	другу и	1	2
253	что за	2	2
254	тому как	4	2
255	это есть	1	2
256	что же	1	2
257	каждом человеке	1	2
258	ничего кроме	1	2
259	но для	1	2
260	его собственная	1	2
261	в более	1	2
262	сознания и	1	2
263	его с	2	2
264	человек и	1	2
265	но когда	1	2
266	и самое	1	2
267	бы в	2	2
268	а в	8	2
269	к самому	1	2
270	был до	1	2
271	которых не	1	1
272	что наконец	1	1
273	и то	3	1
