N	2gram	Bakhtin_KF_1	VeschiIm
1	не есть	20	49
2	не может	27	33
3	не только	5	31
4	может быть	45	29
5	и не	26	28
6	и в	24	26
7	то что	7	24
8	и есть	9	23
9	это значит	1	22
10	значит что	1	22
11	а не	17	20
12	не просто	1	18
13	есть только	1	17
14	что я	5	16
15	в смысле	6	15
16	только в	16	14
17	что она	1	14
18	по себе	2	13
19	того что	3	13
20	все же	5	12
21	и ее	2	12
22	что это	3	12
23	но и	9	12
24	в себя	7	12
25	и то	2	12
26	было бы	8	12
27	не значит	6	10
28	потому что	2	10
29	то же	5	10
30	уже не	7	10
31	в ней	3	10
32	что мы	1	10
33	как бы	9	10
34	и с	1	9
35	бы то	2	9
36	прежде всего	2	9
37	в том	6	9
38	что не	3	9
39	то ни	2	9
40	ни было	4	9
41	в самом	1	9
42	в себе	21	8
43	смысл и	6	8
44	на то	1	8
45	с ее	2	8
46	ничего не	3	8
47	себя и	2	8
48	и это	12	8
49	но это	6	8
50	говорить о	2	7
51	не будет	2	7
52	как с	1	7
53	и их	6	7
54	смысла и	2	7
55	в этом	14	7
56	как раз	1	7
57	ли это	2	7
58	его в	5	7
59	и пр	3	7
60	в то	3	7
61	совершенно не	6	7
62	также и	1	7
63	если оно	1	7
64	себя в	8	7
65	так как	1	7
66	том что	4	7
67	когда мы	1	6
68	жизни и	8	6
69	точки зрения	12	6
70	отличается от	1	6
71	это есть	2	6
72	с ним	5	6
73	быть только	8	6
74	бы и	3	6
75	и только	6	6
76	что в	4	6
77	для него	8	6
78	значит ли	1	6
79	относится к	1	6
80	должно быть	6	6
81	ясно что	3	6
82	со стороны	7	6
83	она не	1	6
84	в результате	1	6
85	ее не	1	6
86	но в	5	6
87	если мы	1	6
88	бытие и	3	6
89	и как	2	6
90	с собою	1	6
91	еще не	4	5
92	должны быть	1	5
93	другими словами	1	5
94	а есть	1	5
95	того же	1	5
96	для этого	2	5
97	или не	1	5
98	и для	9	5
99	для себя	5	5
100	должна быть	4	5
101	не менее	3	5
102	отнюдь не	6	5
103	не в	12	5
104	есть всегда	1	5
105	с тем	2	5
106	а в	4	5
107	но не	12	5
108	в ее	16	5
109	это не	10	5
