N	3gram	Propp_Russ_2	Formalny
1	не может быть	3	10
2	в этом отношении	1	7
3	и в этом	1	5
4	во всяком случае	1	5
5	и т д	5	5
6	вместе с тем	4	4
7	как мы видели	1	4
8	но и в	1	3
9	может быть и	1	3
10	с другой стороны	1	3
11	для того чтобы	6	3
12	и то и	1	2
13	в отличие от	3	2
14	в применении к	1	2
15	не входит в	1	2
16	т е как	1	2
17	с тем и	1	2
18	в том что	18	2
19	что иное как	2	1
20	из этих элементов	1	1
21	как например в	1	1
22	прежде всего как	1	1
23	иметь в виду	1	1
24	в виду что	1	1
25	более или менее	1	1
26	в настоящее время	1	1
27	в таком виде	2	1
28	и в некоторых	2	1
29	в этом случае	6	1
30	с одной стороны	2	1
31	и в других	4	1
32	как мы увидим	1	1
33	во всех этих	1	1
34	из того что	1	1
35	такой же степени	1	1
36	что каждый из	1	1
37	т е что	1	1
38	не могла быть	1	1
39	что в первый	1	1
40	мы не можем	2	1
41	т е в	5	1
42	и многие другие	2	1
43	в данном случае	6	1
44	каждый из этих	1	1
45	в том чтобы	2	1
46	на русской почве	1	1
47	смысле этого слова	1	1
48	главным образом на	1	1
49	в такой же	1	1
50	он был бы	1	1
51	это и есть	1	1
52	то увидим что	1	1
53	таким образом в	1	1
54	в свою очередь	1	1
55	может быть признана	1	1
56	или во всяком	1	1
57	по аналогии с	1	1
58	совершенно очевидно что	1	1
59	по этому поводу	2	1
60	не что иное	2	1
61	тем не менее	2	1
62	поэтому мы не	1	1
63	как и в	1	1
