N	3gram	Voloshinov_1	Vladivir
1	в том что	4	9
2	в то время	1	6
3	тем не менее	3	6
4	во всяком случае	1	6
5	по крайней мере	1	4
6	о том что	1	3
7	в то же	1	3
8	то же время	1	3
9	более или менее	1	3
10	с точки зрения	2	3
11	дело в том	4	3
12	в том же	1	2
13	сам по себе	1	2
14	в настоящее время	2	2
15	нам кажется что	1	2
16	в свою очередь	1	2
17	в данном случае	2	2
18	можно было бы	1	2
19	и для него	1	1
20	бы то ни	3	1
21	только в результате	1	1
22	и не в	3	1
23	находит в нем	1	1
24	и в своем	1	1
25	но в то	1	1
26	в чем мы	1	1
27	до известной степени	2	1
28	можно сказать что	5	1
29	является для нас	1	1
30	с самого начала	1	1
31	равно как и	1	1
32	может быть и	3	1
33	и в нем	1	1
34	до сих пор	3	1
35	по себе не	1	1
36	прежде всего нужно	1	1
37	как это делает	1	1
38	и в частности	1	1
39	и прежде всего	1	1
40	ничего общего с	1	1
41	по себе в	1	1
42	к тому же	1	1
43	как мы уже	1	1
44	но все же	1	1
45	в этом отношении	1	1
46	и к его	1	1
47	сих пор не	1	1
48	в этом смысле	1	1
49	в самом деле	1	1
50	но тем не	2	1
51	с этой стороны	2	1
52	имеет дело с	1	1
53	в высшей степени	1	1
54	мы уже сказали	1	1
55	как уже сказано	1	1
56	для нас является	1	1
57	с ним в	1	1
58	то время как	1	1
59	только то что	1	1
60	то что я	1	1
61	миру и к	1	1
62	не может быть	7	1
