N	3gram	Trubetskoy_1	Mirosoze
1	не может быть	4	8
2	друг к другу	1	5
3	для того чтобы	6	4
4	никогда не было	1	3
5	до сих пор	5	3
6	к тому что	2	3
7	так же как	1	3
8	от того что	1	3
9	и в этом	1	3
10	это и есть	1	3
11	решения вопроса о	1	3
12	может быть назван	1	2
13	но для этого	1	2
14	о том что	2	2
15	по отношению к	1	2
16	в том что	7	2
17	а между тем	5	1
18	а следовательно и	2	1
19	к ближнему и	1	1
20	не будет в	1	1
21	в нем самом	1	1
22	с точки зрения	9	1
23	что он не	2	1
24	приводит к отрицанию	1	1
25	и есть истинная	1	1
26	в себе и	2	1
27	в этом отношении	1	1
28	ни у кого	1	1
29	на то что	4	1
30	в самом себе	2	1
31	в значительной степени	1	1
32	многие из нас	1	1
33	ни к какому	1	1
34	смысле этого слова	1	1
35	и должно быть	1	1
36	он считает себя	1	1
37	в этом направлении	2	1
38	и во всем	1	1
39	ввергнуть его в	1	1
40	в этом есть	1	1
41	как бы не	1	1
42	к богу и	1	1
43	во имя человеколюбия	1	1
44	на земле что	1	1
45	у него на	1	1
46	с самим собой	2	1
47	к которой он	4	1
48	и не допускает	1	1
49	он верит в	1	1
50	той или иной	3	1
51	церковь не есть	1	1
52	границей и на	1	1
53	только в этом	1	1
54	считает себя принадлежащим	1	1
55	любви к богу	1	1
56	сама по себе	2	1
57	на самом деле	6	1
58	она не может	2	1
59	жизни в эпоху	1	1
60	в конце концов	3	1
61	за границей и	1	1
