N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	40
2	то есть	8	18
3	и его	5	17
4	прежде всего	7	16
5	в этом	21	15
6	в романе	6	15
7	не только	20	13
8	в его	4	13
9	и не	12	13
10	вовсе не	1	12
11	что в	3	12
12	как и	11	11
13	но и	19	11
14	таким образом	4	10
15	как мы	3	10
16	и т.п	9	10
17	в сущности	1	9
18	он не	3	9
19	в них	2	9
20	может быть	18	9
21	и все	4	9
22	и до	1	8
23	той же	1	8
24	и на	3	8
25	отношение к	2	8
26	все эти	1	8
27	и с	2	8
28	во время	1	8
29	в том	10	8
30	у него	1	8
31	но в	6	8
32	то же	5	7
33	в своем	5	7
34	он и	2	7
35	в виду	1	7
36	в одном	1	7
37	и др	1	7
38	в духе	1	7
39	во всех	2	6
40	в самом	2	6
41	в этих	3	6
42	в то	4	6
43	же время	3	6
44	связи с	1	6
45	связь с	1	6
46	до конца	3	6
47	в той	4	6
48	в своей	5	6
49	к этому	2	6
50	в нем	5	5
51	так сказать	2	5
52	в основе	3	5
53	и для	3	5
54	в особенности	1	5
55	те же	2	5
56	начала и	2	5
57	в литературе	2	5
58	мы видим	1	5
59	для него	3	5
60	то что	6	5
61	не было	2	5
62	а не	15	5
63	в связи	1	5
64	как раз	2	5
65	в своих	2	5
66	также и	4	4
67	жизни и	7	4
68	из всех	1	4
69	в ней	4	4
70	в истории	1	4
71	в нашем	6	4
72	жизнью и	1	4
73	в мире	8	4
74	было бы	4	4
75	том что	7	4
76	в их	1	4
77	даже в	1	4
78	того чтобы	1	4
79	в области	3	4
80	у нас	1	4
81	и смертью	1	4
82	о том	5	4
83	и о	1	4
84	так в	4	4
85	роль в	1	4
86	особенно в	1	4
87	а также	8	4
88	один из	3	4
89	только на	1	4
90	из них	1	4
91	и даже	1	4
92	и потому	1	4
93	в данном	13	4
94	все это	1	4
95	видно что	1	4
96	в культуре	1	4
97	ни для	1	4
98	в мировой	1	4
99	еще более	1	4
100	самом деле	3	3
101	на самом	4	3
102	в приведенном	2	3
103	по отношению	7	3
104	отличие от	2	3
105	в этой	1	3
106	и наконец	2	3
107	и к	2	3
108	в себе	5	3
