N	2gram	Propp_Morf_1	IolandNe
1	и с	1	3
2	и не	12	2
3	в этом	14	2
4	он не	3	2
5	что в	8	2
6	самого себя	2	2
7	ничего не	4	2
8	себя в	1	1
9	наоборот не	1	1
10	этим и	1	1
11	нисколько не	1	1
12	и др	10	1
13	и тот	1	1
14	а для	1	1
15	и в	13	1
16	только что	2	1
17	них не	1	1
18	а по	3	1
19	то она	1	1
20	более чем	1	1
21	и со	1	1
22	с другой	8	1
23	это было	3	1
24	а в	7	1
25	вплоть до	1	1
26	и дети	1	1
27	так то	1	1
28	того что	3	1
29	о жизни	1	1
30	не дает	1	1
31	следовательно в	1	1
32	после смерти	1	1
33	в руки	3	1
34	свою жену	1	1
35	на котором	3	1
36	а с	2	1
37	другой стороны	4	1
38	с героем	1	1
39	не так	1	1
40	для него	1	1
41	а также	4	1
42	в основе	1	1
43	что при	2	1
44	говорить о	3	1
45	могло бы	1	1
46	видит в	1	1
47	отношению к	4	1
48	а если	4	1
49	так и	6	1
50	литература о	1	1
51	того чтобы	3	1
52	то получается	1	1
53	следующим образом	3	1
54	только для	1	1
55	тех же	4	1
56	тем что	4	1
57	в целом	3	1
58	исследователь должен	1	1
59	точно и	1	1
60	и задача	1	1
61	по отношению	4	1
62	в них	1	1
63	все эти	2	1
64	по существу	12	1
65	со всеми	1	1
66	если бы	2	1
67	для того	2	1
68	не слишком	2	1
