N	2gram	Medvedev_U_1	Myshleni
1	в этом	7	29
2	речи в	1	27
3	и в	14	26
4	для себя	1	24
5	не только	10	24
6	то что	7	24
7	таким образом	2	23
8	в том	2	18
9	и не	8	18
10	том что	2	17
11	как и	3	15
12	того что	1	14
13	этом случае	1	14
14	что в	1	12
15	в которой	1	11
16	но и	4	11
17	не может	7	11
18	в самом	2	9
19	в себе	2	9
20	тем что	2	9
21	что мы	2	9
22	же как	1	8
23	то же	5	8
24	той же	1	8
25	что она	2	8
26	что он	2	8
27	только в	2	8
28	ее в	1	8
29	сказать что	1	8
30	и то	3	7
31	мы не	2	7
32	может быть	6	7
33	прежде всего	8	7
34	самом деле	2	6
35	все же	3	6
36	было бы	3	6
37	и что	1	6
38	а не	10	6
39	от слова	1	6
40	как на	1	6
41	все что	1	6
42	могли бы	2	5
43	и с	2	5
44	с тем	1	5
45	что этот	1	5
46	она не	1	5
47	что с	1	5
48	тогда когда	1	5
49	в процессе	1	5
50	же самое	2	5
51	данном случае	1	5
52	является в	2	5
53	если бы	2	5
54	в виду	1	5
55	можно сказать	1	5
56	с одной	1	5
57	в качестве	1	5
58	одно из	1	5
59	одной стороны	1	5
60	до конца	1	5
61	в данном	1	5
62	и для	2	5
63	бы в	1	5
64	с другой	4	4
65	но в	3	4
66	на то	1	4
67	в котором	1	4
68	не в	2	4
69	в той	1	4
70	никогда не	1	4
71	в области	3	4
72	не могут	2	4
73	не есть	2	4
74	приводит к	1	4
75	о том	1	4
76	в пользу	1	4
77	в его	2	4
78	и только	5	4
79	то и	1	4
80	в конце	2	4
81	о чем	2	4
82	то о	1	4
83	она все	1	3
84	в ней	1	3
85	но не	2	3
86	очевидно что	3	3
87	нет и	1	3
88	в этой	4	3
89	в этот	1	3
90	он не	1	3
91	так и	1	3
92	об этом	1	3
93	для него	3	3
94	в своей	3	3
95	друг другу	1	3
96	по себе	2	3
97	что ему	1	3
98	к изучению	1	3
99	этом отношении	2	3
100	представляется нам	2	3
101	но также	1	3
102	такое что	1	3
103	для этого	3	3
104	что и	2	3
105	это не	3	3
106	и является	2	3
107	мы можем	1	3
108	как раз	2	3
109	до сих	2	3
110	и потому	1	3
111	смысле этого	2	3
112	сих пор	2	3
113	но это	2	3
114	все это	5	3
115	и слово	1	3
116	в то	3	3
