N	4gram	Bakhtin_Fr_5	Vladivir
1	дело в том что	2	3
2	в то же время	9	3
3	начала и до конца	1	2
4	но дело в том	1	2
5	с начала и до	1	2
6	он никак не мог	1	1
7	в связи с вопросом	1	1
8	в это время уже	1	1
9	и в то же	1	1
10	до сих пор не	1	1
11	связи с вопросом о	1	1
12	не что иное как	1	1
13	течение всей своей жизни	1	1
14	не имеет никакого отношения	1	1
15	как мы уже сказали	1	1
16	в этом отношении он	1	1
17	но в то же	5	1
18	в течение всей своей	1	1
19	о чем у нас	1	1
20	в связи с этим	3	1
21	но вместе с тем	1	1
