N	2gram	Medvedev_B_1	Stilisti
1	и в	1	42
2	не только	1	27
3	прежде всего	1	22
4	и не	2	14
5	отнюдь не	1	10
6	в ней	2	8
7	все же	1	8
8	таким образом	1	8
9	и на	1	7
10	было бы	1	7
11	а не	1	7
12	в области	1	6
13	так и	1	6
14	можно было	2	4
15	у нас	3	4
16	всего в	1	4
17	все это	2	4
18	на самом	1	3
19	еще не	1	3
20	об этом	1	3
21	короче говоря	1	3
22	между ними	1	3
23	его не	1	2
24	вопрос о	1	2
25	и нет	1	2
26	значительной степени	1	2
27	в своей	1	2
28	о них	1	2
29	в пределах	1	2
30	в значительной	1	2
31	одной из	1	2
32	не было	1	2
33	до конца	1	2
34	и потому	1	2
35	забывать что	1	2
36	также что	1	1
37	художественного произведения	1	1
38	по отдельным	1	1
39	говорить о	1	1
40	из ее	1	1
41	было говорить	1	1
42	не то	2	1
43	кроме того	1	1
44	остановиться на	1	1
45	бы только	1	1
46	как всякий	1	1
47	о художественной	1	1
48	интонации от	1	1
49	установка на	1	1
50	является только	1	1
51	творчества и	1	1
52	по крайней	1	1
53	из имеющихся	1	1
54	выпадает из	1	1
55	и о	1	1
56	своей же	1	1
57	еще лучше	1	1
58	никак не	1	1
59	и во	1	1
60	крайней мере	1	1
61	говорить не	1	1
62	не о	1	1
63	с другой	1	1
64	без понимания	1	1
65	за пределы	1	1
66	как часть	1	1
67	в речи	1	1
68	что в	1	1
69	тем более	1	1
70	будто бы	1	1
71	а о	1	1
72	другой стороны	1	1
73	совершенно не	1	1
74	нет но	1	1
