N	2gram	Trubetskoy_1	TeoriaLi
1	в мире	4	24
2	не только	9	18
3	в качестве	3	17
4	тогда как	2	16
5	и не	19	16
6	а в	5	14
7	состоит в	2	13
8	и в	14	13
9	в частности	2	13
10	то есть	1	12
11	так и	1	12
12	может быть	9	12
13	в этом	17	11
14	при этом	5	11
15	в том	17	11
16	но не	4	10
17	а не	2	10
18	то же	11	9
19	в его	4	9
20	по отношению	2	8
21	сводится к	3	8
22	но и	10	8
23	отношению к	1	8
24	что в	4	8
25	в себе	9	7
26	том что	9	7
27	точки зрения	11	7
28	в то	10	7
29	по своей	1	7
30	только в	5	7
31	себя в	4	7
32	как это	1	7
33	в данном	7	7
34	еще не	3	6
35	но в	2	6
36	лишь в	3	6
37	место в	2	6
38	же время	10	6
39	как бы	4	6
40	данном случае	3	5
41	в своем	6	5
42	в самом	3	5
43	он не	5	5
44	в принципе	1	5
45	того или	2	5
46	как и	4	5
47	не в	4	5
48	тем самым	2	5
49	в нем	5	5
50	в ее	1	5
51	или иной	5	5
52	между тем	5	5
53	уже не	2	5
54	с другой	1	5
55	или иного	2	5
56	говорить о	3	4
57	по пути	1	4
58	то что	13	4
59	ни в	2	4
60	в своей	5	4
61	в их	4	4
62	или менее	4	4
63	не столько	1	4
64	не менее	1	4
65	приводит к	4	4
66	можно сказать	1	4
67	личности и	1	4
68	в свою	1	4
69	не может	22	4
70	более или	4	4
71	и то	4	3
72	а только	1	3
73	в сторону	1	3
74	и т.д	4	3
75	– на	1	3
76	перед нами	1	3
77	и к	6	3
78	со своей	1	3
79	все эти	2	3
80	в этой	4	3
81	он должен	5	3
82	и вот	2	3
83	и по	3	3
84	самим собой	12	3
85	его в	4	3
86	мог бы	1	3
87	в единое	2	3
88	в этих	2	3
89	тем не	1	3
90	и внешней	1	3
91	никогда не	5	3
92	потому что	5	3
93	той или	3	3
94	свою очередь	1	3
95	в другом	3	3
96	в порядке	2	3
97	и что	2	3
98	входит в	1	3
99	того что	3	3
100	а с	2	3
101	человека с	1	3
102	для него	6	3
103	с ее	1	3
104	на почве	2	3
105	именно в	3	3
106	прежде всего	8	3
107	и потому	3	3
108	человека к	1	3
109	– не	2	3
110	по своему	1	3
111	этого слова	1	3
112	к которому	1	3
113	таким образом	11	3
114	или в	3	3
115	в основе	1	3
116	ни к	7	3
117	отношении к	2	3
118	была бы	1	2
119	отношения к	2	2
120	того же	1	2
121	и это	1	2
122	это и	1	2
123	тех или	1	2
124	на деле	1	2
125	но она	2	2
126	на себя	2	2
127	между собой	5	2
128	но как	1	2
129	у него	2	2
130	что они	3	2
131	сама по	2	2
132	данный момент	1	2
133	в противном	1	2
134	и как	3	2
135	в которой	1	2
136	но на	1	2
137	противном случае	1	2
138	однако при	1	2
139	к одному	1	2
140	или иных	1	2
141	не следует	1	2
142	здесь мы	1	2
143	могла бы	1	2
144	тем в	1	2
145	единое целое	1	2
146	об этом	1	2
147	это не	1	2
148	и тем	2	2
149	вовсе не	1	2
150	и того	1	2
151	иначе говоря	1	2
152	и некоторые	1	2
153	одного и	1	2
154	с точки	9	2
155	– при	1	2
156	к такой	1	2
157	принципиальное отличие	1	2
158	их в	2	2
159	по себе	2	2
160	даже в	1	2
161	не могло	1	2
162	только не	1	2
163	однако если	1	2
164	казалось бы	1	2
165	внутренней и	1	2
166	как будто	2	2
167	личности к	1	2
168	и для	6	2
169	следует признать	1	2
170	и о	2	2
171	в себя	1	2
172	роль в	1	2
173	что может	3	2
174	к его	1	2
175	мы в	1	2
176	если бы	6	2
177	в состав	1	2
178	о том	7	2
179	к нему	2	2
180	во всех	5	2
181	тот или	1	2
182	в большинстве	3	2
183	в конце	3	2
184	и даже	2	2
185	со стороны	4	2
186	в области	2	2
187	следует подчеркнуть	1	2
188	себя и	5	2
189	а на	1	2
190	не на	1	2
191	человеческой жизни	1	2
192	о себе	1	2
193	вместе с	4	2
194	так же	2	2
195	жизни но	1	2
196	из которых	5	2
197	могут быть	1	2
198	при условии	3	2
199	к тому	7	2
200	жизни в	5	2
201	одной из	3	2
202	имеет в	1	2
203	что он	6	2
204	культуры в	3	2
