N	3gram	Berdyaev_N_1	Psycholo
1	в том что	1	9
2	не может быть	4	8
3	в том чтобы	1	7
4	о том что	1	7
5	во всяком случае	1	6
6	в зависимости от	1	5
7	то время как	1	5
8	в то время	1	5
9	не в том	1	5
10	подобно тому как	3	5
11	с другой стороны	2	5
12	с одной стороны	2	5
13	так же как	2	4
14	как и в	1	4
15	что в этом	1	3
16	до сих пор	1	3
17	в отличие от	1	3
18	в этом смысле	2	2
19	в том и	2	2
20	вместе с тем	2	2
21	в том случае	1	2
22	как будто бы	1	2
23	и того же	1	1
24	такой же мере	1	1
25	есть прежде всего	1	1
26	в том числе	1	1
27	же как и	1	1
28	он не может	2	1
29	и во всех	1	1
30	выходит за пределы	1	1
31	том случае если	1	1
32	сами по себе	1	1
33	то что в	1	1
34	и для того	1	1
35	совершенно так же	1	1
36	заключает в себе	1	1
37	бы сказать что	1	1
38	может быть только	1	1
39	к жизни и	1	1
40	еще то что	1	1
41	не только в	1	1
42	но она не	1	1
43	в известном смысле	1	1
44	не могут быть	1	1
45	в такой же	1	1
46	это и есть	1	1
47	то что он	1	1
48	ни в одну	1	1
49	в одну из	1	1
50	в нашу эпоху	2	1
51	человека не может	1	1
52	когда мы говорим	2	1
53	и вместе с	1	1
54	та или иная	1	1
55	она не должна	1	1
56	но я не	1	1
57	мы не хотим	1	1
58	вопрос о том	2	1
59	говорит что в	1	1
60	одного и того	1	1
61	было бы сказать	1	1
62	он создает себе	1	1
63	в нем не	1	1
64	том числе и	1	1
