N	2gram	Losev_Vlad_2	Psycholo
1	то что	20	32
2	и в	30	31
3	в том	18	30
4	и т	1	26
5	то есть	7	26
6	что в	12	23
7	может быть	7	22
8	таким образом	3	20
9	при помощи	1	20
10	совершенно ясно	1	19
11	при этом	5	19
12	ясно что	1	19
13	так как	5	18
14	не может	9	17
15	как и	5	16
16	том что	12	16
17	т п	1	16
18	и не	18	16
19	точки зрения	7	15
20	только в	6	14
21	не только	12	13
22	что и	3	13
23	а не	7	13
24	мы не	2	12
25	если мы	1	12
26	так же	4	12
27	в этом	20	12
28	с таким	1	11
29	в самом	2	11
30	не в	9	11
31	в области	3	11
32	в сущности	2	10
33	на то	2	10
34	того что	5	10
35	потому что	9	10
36	самом деле	1	9
37	по себе	5	9
38	ни в	7	9
39	как в	3	9
40	т д	1	8
41	и что	5	8
42	никогда не	7	8
43	что мы	1	8
44	вместе с	8	8
45	все это	5	8
46	во всяком	6	8
47	только тогда	2	7
48	том чтобы	2	7
49	заключается в	2	7
50	на основании	1	7
51	сказать что	11	7
52	того чтобы	2	7
53	и его	6	7
54	о том	4	7
55	что он	13	7
56	что это	4	6
57	целый ряд	1	6
58	из этих	3	6
59	что она	1	6
60	для того	2	6
61	было бы	9	6
62	если бы	1	6
63	в его	11	6
64	всяком случае	6	6
65	вовсе не	4	6
66	и даже	10	6
67	до конца	7	6
68	а в	11	6
69	и есть	2	5
70	то же	4	5
71	время как	2	5
72	в целом	4	5
73	и совершенно	1	5
74	несмотря на	4	5
75	оказывается что	1	5
76	она не	2	5
77	в то	9	5
78	тогда когда	2	5
79	с и	2	5
80	как будто	2	5
81	утверждать что	1	5
82	то время	6	5
83	для нас	7	5
84	в какой	1	5
85	так что	5	5
86	само по	2	5
87	это есть	1	5
88	как бы	5	5
89	все же	9	5
90	и для	3	5
91	и все	7	5
92	в котором	5	4
93	мы имеем	1	4
94	в которой	4	4
95	в виду	2	4
96	точка зрения	1	4
97	у него	19	4
98	со всеми	1	4
99	отличие от	3	4
100	в последнее	2	4
101	в себе	6	4
102	и если	4	4
103	по существу	3	4
104	что я	3	4
105	у нас	6	4
106	очень часто	1	4
107	к тому	2	4
108	те же	3	4
109	со стороны	4	4
110	никак не	3	4
111	прежде всего	6	4
112	мы увидим	1	4
113	для всех	1	4
114	как это	7	4
115	с этой	4	4
116	и о	4	4
117	в результате	5	4
118	чтобы понять	1	4
119	в этих	4	4
120	и другие	1	4
121	в своих	2	4
122	к этому	6	4
123	смысле слова	1	3
124	например в	1	3
125	что эти	2	3
126	собственном смысле	1	3
127	с в	4	3
128	той же	4	3
129	в которых	1	3
130	разницы между	2	3
131	совсем не	4	3
132	но не	3	3
133	с этим	5	3
134	в своем	8	3
135	хотя и	6	3
136	что по	1	3
137	и к	6	3
138	себе не	1	3
139	но в	8	3
140	в произведении	1	3
141	та же	1	3
142	уже в	3	3
143	в этой	4	3
144	им в	3	3
145	его и	2	3
146	тому же	1	3
147	и вот	3	3
