N	3gram	Tiupa_Teor_1	Literetu
1	то же время	5	7
2	в то же	5	7
3	присутствия в мире	5	6
4	в отличие от	6	5
5	по отношению к	4	4
6	в данном случае	5	4
7	с одной стороны	2	4
8	о том что	1	4
9	в том что	8	4
10	в хх веке	1	3
11	в том числе	2	3
12	в соответствии с	2	3
13	с точки зрения	3	3
14	тогда как в	2	3
15	не может быть	4	3
16	себя в другом	1	2
17	состоит в том	5	2
18	подобно тому как	1	2
19	то же самое	1	2
20	бы то ни	1	2
21	из того что	1	2
22	том числе и	1	2
23	в своего рода	1	2
24	то ни было	1	2
25	но в отличие	1	2
26	по большей части	1	2
27	так или иначе	4	2
28	с другой стороны	5	2
29	и тем самым	2	2
30	той или иной	1	2
31	я и мир	1	1
32	в присутствии эстетического	1	1
33	самоактуализации личности в	1	1
34	это уже не	1	1
35	раз в том	1	1
36	что иное как	1	1
37	черта ее не	1	1
38	в той или	1	1
39	эстетическим субъектом только	1	1
40	такого рода и	1	1
41	позицией уединенного сознания	1	1
42	не об отсутствии	1	1
43	заветная черта ее	1	1
44	на свое место	1	1
45	так и не	4	1
46	не перейти влюбленности	1	1
47	в сопряжении с	1	1
48	друг от друга	1	1
49	лирического я с	1	1
50	искусству как способу	1	1
51	людей заветная черта	1	1
52	в знаковом материале	1	1
53	два сверхсхемных ударения	1	1
54	я в мире	7	1
55	но не в	1	1
56	а также в	1	1
57	в акте эстетического	1	1
58	одним из тех	1	1
59	что произведение искусства	1	1
60	при этом в	1	1
61	известную цельность как	1	1
62	всегда так или	1	1
63	присутствие я в	1	1
64	внешних и внутренних	1	1
65	однако в рамках	1	1
66	могли бы быть	1	1
67	ее не перейти	1	1
68	том что лирическое	1	1
69	именно в этом	1	1
70	как правило приобретает	1	1
71	ту или иную	1	1
72	как раз в	1	1
73	который может быть	1	1
74	в значительной степени	1	1
75	в самом начале	2	1
76	не что иное	1	1
77	содержит в себе	1	1
78	по сути своей	1	1
79	если говорить о	1	1
80	остаться самим собой	1	1
81	цельность как бы	1	1
82	на первый взгляд	1	1
83	форма эстетических отношений	1	1
84	же время оказывается	1	1
85	позиция лирического героя	1	1
86	в близости людей	1	1
87	действительность в ее	1	1
88	можно охарактеризовать как	1	1
89	художественного мышления и	1	1
90	в связи с	1	1
91	исходит из того	1	1
92	личности в мире	1	1
93	только в присутствии	1	1
94	в целом ряде	1	1
95	как бы в	1	1
96	для того чтобы	1	1
97	как бы личность	1	1
98	субъекта и объекта	1	1
99	факторов художественного впечатления	3	1
100	перейти влюбленности и	1	1
101	более или менее	2	1
102	присутствия личности в	1	1
103	как совокупность факторов	1	1
104	состоит как раз	1	1
105	я это не	1	1
106	способ присутствия в	1	1
107	в свою очередь	2	1
108	есть в близости	1	1
109	начало и конец	1	1
110	не только не	2	1
111	при этом не	1	1
112	причастности к бытию	1	1
113	в конечном счете	6	1
114	в этой системе	2	1
115	или иной мере	1	1
116	в эстетический объект	2	1
117	никогда не бывает	1	1
118	к тому что	2	1
119	в силу своей	1	1
120	этого текста в	1	1
121	близости людей заветная	1	1
122	в отношении к	1	1
123	сама по себе	1	1
124	тем не менее	3	1
125	совокупность факторов художественного	1	1
126	по два сверхсхемных	1	1
127	к сверхличному содержанию	1	1
128	в художественном тексте	1	1
129	в сочетании с	2	1
